round,elapsed_ms,tag
0,0.082537,alloc
1,0.080573,alloc
2,0.079778,alloc
3,0.079794,alloc
4,0.080920,alloc
5,0.080823,alloc
6,0.079625,alloc
7,0.080616,alloc
8,0.079831,alloc
9,0.079692,alloc
10,0.080055,alloc
11,0.079826,alloc
12,0.079611,alloc
13,0.079700,alloc
14,0.079669,alloc
15,0.079672,alloc
16,0.080207,alloc
17,0.079927,alloc
18,0.079944,alloc
19,0.080471,alloc
