round,mem_used,tag
0,393216.000000,mem_repl
1,393428.000000,mem_repl
2,392856.000000,mem_repl
3,393520.000000,mem_repl
4,393088.000000,mem_repl
5,392840.000000,mem_repl
6,393132.000000,mem_repl
7,393200.000000,mem_repl
8,392852.000000,mem_repl
9,393080.000000,mem_repl
10,393332.000000,mem_repl
11,393016.000000,mem_repl
12,392992.000000,mem_repl
13,392936.000000,mem_repl
14,393536.000000,mem_repl
15,393032.000000,mem_repl
16,392628.000000,mem_repl
17,393172.000000,mem_repl
18,392988.000000,mem_repl
19,393224.000000,mem_repl
