round,mem_used,tag
0,131236.000000,mem_main_repl
1,131040.000000,mem_main_repl
2,131040.000000,mem_main_repl
3,131040.000000,mem_main_repl
4,131040.000000,mem_main_repl
5,131040.000000,mem_main_repl
6,131040.000000,mem_main_repl
7,131040.000000,mem_main_repl
8,131040.000000,mem_main_repl
9,131040.000000,mem_main_repl
10,130888.000000,mem_main_repl
11,131040.000000,mem_main_repl
12,131040.000000,mem_main_repl
13,131040.000000,mem_main_repl
14,130672.000000,mem_main_repl
15,130908.000000,mem_main_repl
16,131040.000000,mem_main_repl
17,132112.000000,mem_main_repl
18,131040.000000,mem_main_repl
19,131040.000000,mem_main_repl
