round,mem_used,tag
0,262316.000000,mem_repl
1,261868.000000,mem_repl
2,262188.000000,mem_repl
3,262080.000000,mem_repl
4,261940.000000,mem_repl
5,262136.000000,mem_repl
6,262080.000000,mem_repl
7,261696.000000,mem_repl
8,262464.000000,mem_repl
9,261932.000000,mem_repl
10,262048.000000,mem_repl
11,262080.000000,mem_repl
12,261888.000000,mem_repl
13,262272.000000,mem_repl
14,262080.000000,mem_repl
15,261912.000000,mem_repl
16,262248.000000,mem_repl
17,262080.000000,mem_repl
18,262080.000000,mem_repl
19,262080.000000,mem_repl
