round,mem_used,tag
0,131048.000000,mem
1,130772.000000,mem
2,131072.000000,mem
3,131412.000000,mem
4,131040.000000,mem
5,131080.000000,mem
6,131292.000000,mem
7,131048.000000,mem
8,131160.000000,mem
9,131140.000000,mem
10,131560.000000,mem
11,131440.000000,mem
12,131040.000000,mem
13,126000.000000,mem
14,131284.000000,mem
15,131044.000000,mem
16,131232.000000,mem
17,131920.000000,mem
18,131476.000000,mem
19,130848.000000,mem
