round,mem_used,tag
0,523532.000000,mem_repl
1,524320.000000,mem_repl
2,524288.000000,mem_repl
3,523824.000000,mem_repl
4,524024.000000,mem_repl
5,524392.000000,mem_repl
6,523848.000000,mem_repl
7,524132.000000,mem_repl
8,524392.000000,mem_repl
9,523948.000000,mem_repl
10,523992.000000,mem_repl
11,523864.000000,mem_repl
12,524108.000000,mem_repl
13,524452.000000,mem_repl
14,523720.000000,mem_repl
15,523644.000000,mem_repl
16,524144.000000,mem_repl
17,523728.000000,mem_repl
18,524216.000000,mem_repl
19,523848.000000,mem_repl
