sf,streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
10,16,7,imbalanced,1,True,9,1.2732,175,2026-08-27T16:01:53.153170,2026-08-27T16:01:54.426426
10,16,4,imbalanced,1,True,8,1.2534,2,2026-08-27T16:01:53.530316,2026-08-27T16:01:54.783784
10,16,2,imbalanced,1,True,7,0.839,4,2026-08-27T16:01:54.018274,2026-08-27T16:01:54.857352
10,16,1,imbalanced,1,True,8,1.278,2,2026-08-27T16:01:53.635168,2026-08-27T16:01:54.913168
10,16,5,imbalanced,1,True,9,1.0301,175,2026-08-27T16:01:53.930174,2026-08-27T16:01:54.960258
10,16,6,imbalanced,1,True,9,1.3872,175,2026-08-27T16:01:53.586490,2026-08-27T16:01:54.973709
10,16,8,imbalanced,1,True,10,1.9856,20,2026-08-27T16:01:53.024096,2026-08-27T16:01:55.009701
10,16,0,imbalanced,1,True,7,1.0975,4,2026-08-27T16:01:53.964249,2026-08-27T16:01:55.061772
10,16,10,imbalanced,1,True,13,3.7694,45,2026-08-27T16:01:51.301997,2026-08-27T16:01:55.071443
10,16,13,imbalanced,1,True,18,1.3431,100,2026-08-27T16:01:53.738452,2026-08-27T16:01:55.081611
10,16,11,imbalanced,1,True,13,3.7277,45,2026-08-27T16:01:51.354105,2026-08-27T16:01:55.081824
10,16,9,imbalanced,1,True,13,0.8897,45,2026-08-27T16:01:54.235912,2026-08-27T16:01:55.125717
10,16,8,imbalanced,1,True,11,0.1266,0,2026-08-27T16:01:55.009994,2026-08-27T16:01:55.136684
10,16,12,imbalanced,1,True,13,8.1798,45,2026-08-27T16:01:47.110265,2026-08-27T16:01:55.290168
10,16,10,imbalanced,1,True,14,0.3666,1,2026-08-27T16:01:55.072443,2026-08-27T16:01:55.439032
10,16,7,imbalanced,1,True,10,1.0781,20,2026-08-27T16:01:54.426944,2026-08-27T16:01:55.505115
10,16,3,imbalanced,1,True,8,1.7724,2,2026-08-27T16:01:53.812396,2026-08-27T16:01:55.584847
10,16,9,imbalanced,1,True,14,0.4776,1,2026-08-27T16:01:55.125884,2026-08-27T16:01:55.603502
10,16,4,imbalanced,1,True,9,0.8338,175,2026-08-27T16:01:54.784010,2026-08-27T16:01:55.617846
10,16,15,imbalanced,1,True,21,1.3604,100,2026-08-27T16:01:54.267784,2026-08-27T16:01:55.628214
10,16,2,imbalanced,1,True,8,0.9026,2,2026-08-27T16:01:54.857463,2026-08-27T16:01:55.760066
10,16,13,imbalanced,1,True,19,0.695,1,2026-08-27T16:01:55.081723,2026-08-27T16:01:55.776810
10,16,1,imbalanced,1,True,9,0.8736,175,2026-08-27T16:01:54.913682,2026-08-27T16:01:55.787350
10,16,11,imbalanced,1,True,14,0.714,1,2026-08-27T16:01:55.092517,2026-08-27T16:01:55.806572
10,16,7,imbalanced,1,True,11,0.3092,0,2026-08-27T16:01:55.505420,2026-08-27T16:01:55.814710
10,16,10,imbalanced,1,True,15,0.3841,1,2026-08-27T16:01:55.439288,2026-08-27T16:01:55.823410
10,16,12,imbalanced,1,True,14,0.5459,1,2026-08-27T16:01:55.292478,2026-08-27T16:01:55.838446
10,16,8,imbalanced,1,True,12,0.7426,2,2026-08-27T16:01:55.137350,2026-08-27T16:01:55.879959
10,16,9,imbalanced,1,True,15,0.2873,1,2026-08-27T16:01:55.603623,2026-08-27T16:01:55.890911
10,16,6,imbalanced,1,True,10,0.956,20,2026-08-27T16:01:54.973852,2026-08-27T16:01:55.929907
10,16,0,imbalanced,1,True,8,0.8989,2,2026-08-27T16:01:55.062026,2026-08-27T16:01:55.960992
10,16,6,imbalanced,1,True,11,0.1893,0,2026-08-27T16:01:55.939787,2026-08-27T16:01:56.129186
10,16,11,imbalanced,1,True,15,0.3541,1,2026-08-27T16:01:55.806737,2026-08-27T16:01:56.160891
10,16,5,imbalanced,1,True,10,1.2598,20,2026-08-27T16:01:54.960396,2026-08-27T16:01:56.220264
10,16,7,imbalanced,1,True,12,0.5252,2,2026-08-27T16:01:55.814849,2026-08-27T16:01:56.340045
10,16,5,imbalanced,1,True,11,0.2492,0,2026-08-27T16:01:56.233617,2026-08-27T16:01:56.482864
10,16,12,imbalanced,1,True,15,0.7601,1,2026-08-27T16:01:55.838570,2026-08-27T16:01:56.598772
10,16,6,imbalanced,1,True,12,0.5572,2,2026-08-27T16:01:56.129420,2026-08-27T16:01:56.688177
10,16,2,imbalanced,1,True,9,0.931,175,2026-08-27T16:01:55.760244,2026-08-27T16:01:56.691258
10,16,10,imbalanced,1,True,16,0.9506,27840,2026-08-27T16:01:55.824264,2026-08-27T16:01:56.774925
10,16,3,imbalanced,1,True,9,1.2128,175,2026-08-27T16:01:55.585244,2026-08-27T16:01:56.798122
10,16,13,imbalanced,1,True,20,1.0755,1804,2026-08-27T16:01:55.776965,2026-08-27T16:01:56.852504
