streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
1,0,repl,2,False,11,0.0737,10,2026-08-27T14:55:04.026720,2026-08-27T14:55:04.100482
1,0,repl,2,False,12,0.0829,10,2026-08-27T14:55:04.100559,2026-08-27T14:55:04.183447
1,0,repl,2,False,13,0.1432,10,2026-08-27T14:55:04.183531,2026-08-27T14:55:04.326773
1,0,repl,2,False,14,0.2824,10,2026-08-27T14:55:04.326851,2026-08-27T14:55:04.609289
1,0,repl,2,False,15,0.1454,10,2026-08-27T14:55:04.609368,2026-08-27T14:55:04.754750
1,0,repl,2,False,16,0.1489,10,2026-08-27T14:55:04.754819,2026-08-27T14:55:04.903708
1,0,repl,2,False,17,0.2863,10,2026-08-27T14:55:04.903789,2026-08-27T14:55:05.190127
1,0,repl,2,False,18,0.3083,10,2026-08-27T14:55:05.190203,2026-08-27T14:55:05.498533
1,0,repl,2,False,19,0.6385,10,2026-08-27T14:55:05.498611,2026-08-27T14:55:06.137178
1,0,repl,2,False,20,0.0075,4,2026-08-27T14:55:06.137258,2026-08-27T14:55:06.144750
1,0,repl,2,False,21,0.4692,1,2026-08-27T14:55:06.144814,2026-08-27T14:55:06.613994
1,0,repl,2,False,22,0.4964,10,2026-08-27T14:55:06.614072,2026-08-27T14:55:07.110529
1,0,repl,2,False,23,0.6186,10,2026-08-27T14:55:07.110603,2026-08-27T14:55:07.729268
1,0,repl,2,False,24,0.098,10,2026-08-27T14:55:07.729342,2026-08-27T14:55:07.827398
1,0,repl,2,False,25,0.0262,10,2026-08-27T14:55:07.827471,2026-08-27T14:55:07.853706
1,0,repl,2,False,26,0.0973,10,2026-08-27T14:55:07.853772,2026-08-27T14:55:07.951123
1,0,repl,2,False,27,0.0285,10,2026-08-27T14:55:07.951196,2026-08-27T14:55:07.979675
1,0,repl,2,False,28,0.3571,25,2026-08-27T14:55:07.979747,2026-08-27T14:55:08.336878
1,0,repl,2,False,29,2.8919,25,2026-08-27T14:55:08.336951,2026-08-27T14:55:11.228921
1,0,repl,2,False,30,0.0506,1,2026-08-27T14:55:11.229002,2026-08-27T14:55:11.279598
1,0,repl,2,False,31,0.1775,10,2026-08-27T14:55:11.279665,2026-08-27T14:55:11.457143
1,0,repl,2,False,32,0.326,10,2026-08-27T14:55:11.457226,2026-08-27T14:55:11.783281
1,0,repl,2,False,33,0.897,10,2026-08-27T14:55:11.783366,2026-08-27T14:55:12.680408
1,0,repl,2,False,34,0.6478,10,2026-08-27T14:55:12.680495,2026-08-27T14:55:13.328341
1,0,repl,2,False,35,0.7612,10,2026-08-27T14:55:13.328456,2026-08-27T14:55:14.089692
1,0,repl,2,False,36,0.1518,10,2026-08-27T14:55:14.089769,2026-08-27T14:55:14.241639
1,0,repl,2,False,37,0.0351,10,2026-08-27T14:55:14.241719,2026-08-27T14:55:14.276878
1,0,repl,2,False,38,0.0155,10,2026-08-27T14:55:14.276955,2026-08-27T14:55:14.292446
1,0,repl,2,False,39,0.0255,10,2026-08-27T14:55:14.292509,2026-08-27T14:55:14.318057
1,0,repl,2,False,40,0.0919,10,2026-08-27T14:55:14.318115,2026-08-27T14:55:14.410010
1,0,repl,2,False,41,0.0153,10,2026-08-27T14:55:14.410088,2026-08-27T14:55:14.425366
1,0,repl,2,False,42,0.0175,10,2026-08-27T14:55:14.425426,2026-08-27T14:55:14.442984
1,0,repl,2,False,43,0.0174,10,2026-08-27T14:55:14.443036,2026-08-27T14:55:14.460451
1,0,repl,3,False,1,0.0022,1,2026-08-27T14:55:14.462804,2026-08-27T14:55:14.464992
1,0,repl,3,False,2,0.0313,1,2026-08-27T14:55:14.465040,2026-08-27T14:55:14.496376
1,0,repl,3,False,3,0.0121,1,2026-08-27T14:55:14.496424,2026-08-27T14:55:14.508502
1,0,repl,3,False,4,0.0106,1,2026-08-27T14:55:14.508541,2026-08-27T14:55:14.519131
1,0,repl,3,False,5,0.1392,1,2026-08-27T14:55:14.519175,2026-08-27T14:55:14.658365
1,0,repl,3,False,6,0.1054,1,2026-08-27T14:55:14.658445,2026-08-27T14:55:14.763829
1,0,repl,3,False,7,0.0432,1,2026-08-27T14:55:14.763905,2026-08-27T14:55:14.807101
1,0,repl,3,False,8,0.0131,18,2026-08-27T14:55:14.807173,2026-08-27T14:55:14.820264
1,0,repl,3,False,9,0.1888,10,2026-08-27T14:55:14.820317,2026-08-27T14:55:15.009136
1,0,repl,3,False,10,0.2753,10,2026-08-27T14:55:15.009211,2026-08-27T14:55:15.284493
1,0,repl,3,False,11,0.0653,10,2026-08-27T14:55:15.284570,2026-08-27T14:55:15.349927
1,0,repl,3,False,12,0.072,10,2026-08-27T14:55:15.350003,2026-08-27T14:55:15.422069
1,0,repl,3,False,13,0.1322,10,2026-08-27T14:55:15.422146,2026-08-27T14:55:15.554389
1,0,repl,3,False,14,0.247,10,2026-08-27T14:55:15.554464,2026-08-27T14:55:15.801513
1,0,repl,3,False,15,0.1341,10,2026-08-27T14:55:15.801590,2026-08-27T14:55:15.935744
1,0,repl,3,False,16,0.1517,10,2026-08-27T14:55:15.935820,2026-08-27T14:55:16.087583
1,0,repl,3,False,17,0.2785,10,2026-08-27T14:55:16.087657,2026-08-27T14:55:16.366220
1,0,repl,3,False,18,0.2818,10,2026-08-27T14:55:16.366298,2026-08-27T14:55:16.648155
1,0,repl,3,False,19,0.6077,10,2026-08-27T14:55:16.648233,2026-08-27T14:55:17.255975
1,0,repl,3,False,20,0.0066,4,2026-08-27T14:55:17.256053,2026-08-27T14:55:17.262676
1,0,repl,3,False,21,0.3236,1,2026-08-27T14:55:17.262741,2026-08-27T14:55:17.586355
1,0,repl,3,False,22,0.3028,10,2026-08-27T14:55:17.586432,2026-08-27T14:55:17.889281
1,0,repl,3,False,23,0.5075,10,2026-08-27T14:55:17.889356,2026-08-27T14:55:18.396844
1,0,repl,3,False,24,0.0784,10,2026-08-27T14:55:18.396969,2026-08-27T14:55:18.475402
1,0,repl,3,False,25,0.0214,10,2026-08-27T14:55:18.475474,2026-08-27T14:55:18.496943
1,0,repl,3,False,26,0.0956,10,2026-08-27T14:55:18.497010,2026-08-27T14:55:18.592673
1,0,repl,3,False,27,0.0261,10,2026-08-27T14:55:18.592746,2026-08-27T14:55:18.618826
1,0,repl,3,False,28,0.175,25,2026-08-27T14:55:18.618898,2026-08-27T14:55:18.793915
1,0,repl,3,False,29,2.7312,25,2026-08-27T14:55:18.794001,2026-08-27T14:55:21.525202
1,0,repl,3,False,30,0.0502,1,2026-08-27T14:55:21.525281,2026-08-27T14:55:21.575501
1,0,repl,3,False,31,0.16,10,2026-08-27T14:55:21.575563,2026-08-27T14:55:21.735550
1,0,repl,3,False,32,0.3781,10,2026-08-27T14:55:21.735630,2026-08-27T14:55:22.113713
1,0,repl,3,False,33,0.9032,10,2026-08-27T14:55:22.113771,2026-08-27T14:55:23.017029
1,0,repl,3,False,34,0.6916,10,2026-08-27T14:55:23.017086,2026-08-27T14:55:23.708711
1,0,repl,3,False,35,0.6556,10,2026-08-27T14:55:23.708788,2026-08-27T14:55:24.364379
1,0,repl,3,False,36,0.1419,10,2026-08-27T14:55:24.364459,2026-08-27T14:55:24.506384
1,0,repl,3,False,37,0.034,10,2026-08-27T14:55:24.506461,2026-08-27T14:55:24.540513
1,0,repl,3,False,38,0.0222,10,2026-08-27T14:55:24.540590,2026-08-27T14:55:24.562784
1,0,repl,3,False,39,0.0204,10,2026-08-27T14:55:24.562845,2026-08-27T14:55:24.583283
1,0,repl,3,False,40,0.0925,10,2026-08-27T14:55:24.583340,2026-08-27T14:55:24.675832
1,0,repl,3,False,41,0.0215,10,2026-08-27T14:55:24.675911,2026-08-27T14:55:24.697444
1,0,repl,3,False,42,0.0177,10,2026-08-27T14:55:24.697516,2026-08-27T14:55:24.715256
1,0,repl,3,False,43,0.0165,10,2026-08-27T14:55:24.715303,2026-08-27T14:55:24.731782
1,0,repl,4,False,1,0.0024,1,2026-08-27T14:55:24.736094,2026-08-27T14:55:24.738496
1,0,repl,4,False,2,0.0302,1,2026-08-27T14:55:24.738544,2026-08-27T14:55:24.768730
1,0,repl,4,False,3,0.0132,1,2026-08-27T14:55:24.768768,2026-08-27T14:55:24.781977
1,0,repl,4,False,4,0.0121,1,2026-08-27T14:55:24.782018,2026-08-27T14:55:24.794113
1,0,repl,4,False,5,0.1314,1,2026-08-27T14:55:24.794168,2026-08-27T14:55:24.925540
1,0,repl,4,False,6,0.1195,1,2026-08-27T14:55:24.925601,2026-08-27T14:55:25.045128
1,0,repl,4,False,7,0.0454,1,2026-08-27T14:55:25.045214,2026-08-27T14:55:25.090611
1,0,repl,4,False,8,0.0152,18,2026-08-27T14:55:25.090670,2026-08-27T14:55:25.105904
1,0,repl,4,False,9,0.1911,10,2026-08-27T14:55:25.105953,2026-08-27T14:55:25.297096
1,0,repl,4,False,10,0.2689,10,2026-08-27T14:55:25.297184,2026-08-27T14:55:25.566071
1,0,repl,4,False,11,0.0651,10,2026-08-27T14:55:25.566160,2026-08-27T14:55:25.631278
1,0,repl,4,False,12,0.0732,10,2026-08-27T14:55:25.631356,2026-08-27T14:55:25.704573
1,0,repl,4,False,13,0.1306,10,2026-08-27T14:55:25.704652,2026-08-27T14:55:25.835278
1,0,repl,4,False,14,0.2427,10,2026-08-27T14:55:25.835355,2026-08-27T14:55:26.078094
1,0,repl,4,False,15,0.1483,10,2026-08-27T14:55:26.078172,2026-08-27T14:55:26.226501
1,0,repl,4,False,16,0.152,10,2026-08-27T14:55:26.226579,2026-08-27T14:55:26.378581
1,0,repl,4,False,17,0.29,10,2026-08-27T14:55:26.378657,2026-08-27T14:55:26.668668
1,0,repl,4,False,18,0.309,10,2026-08-27T14:55:26.668749,2026-08-27T14:55:26.977815
1,0,repl,4,False,19,0.5961,10,2026-08-27T14:55:26.977892,2026-08-27T14:55:27.574014
1,0,repl,4,False,20,0.0089,4,2026-08-27T14:55:27.574093,2026-08-27T14:55:27.582961
1,0,repl,4,False,21,0.2077,1,2026-08-27T14:55:27.583090,2026-08-27T14:55:27.790844
1,0,repl,4,False,22,0.2776,10,2026-08-27T14:55:27.790917,2026-08-27T14:55:28.068510
1,0,repl,4,False,23,0.4361,10,2026-08-27T14:55:28.068587,2026-08-27T14:55:28.504700
1,0,repl,4,False,24,0.0813,10,2026-08-27T14:55:28.504775,2026-08-27T14:55:28.586124
1,0,repl,4,False,25,0.0208,10,2026-08-27T14:55:28.586197,2026-08-27T14:55:28.607030
1,0,repl,4,False,26,0.092,10,2026-08-27T14:55:28.607097,2026-08-27T14:55:28.699084
1,0,repl,4,False,27,0.0246,10,2026-08-27T14:55:28.699157,2026-08-27T14:55:28.723810
1,0,repl,4,False,28,0.1507,25,2026-08-27T14:55:28.723876,2026-08-27T14:55:28.874641
1,0,repl,4,False,29,2.6891,25,2026-08-27T14:55:28.874719,2026-08-27T14:55:31.563856
1,0,repl,4,False,30,0.0493,1,2026-08-27T14:55:31.563929,2026-08-27T14:55:31.613237
1,0,repl,4,False,31,0.1488,10,2026-08-27T14:55:31.613301,2026-08-27T14:55:31.762113
1,0,repl,4,False,32,0.3606,10,2026-08-27T14:55:31.762191,2026-08-27T14:55:32.122774
1,0,repl,4,False,33,0.8504,10,2026-08-27T14:55:32.122848,2026-08-27T14:55:32.973304
1,0,repl,4,False,34,0.5737,10,2026-08-27T14:55:32.973378,2026-08-27T14:55:33.547082
1,0,repl,4,False,35,0.5456,10,2026-08-27T14:55:33.547160,2026-08-27T14:55:34.092791
1,0,repl,4,False,36,0.1389,10,2026-08-27T14:55:34.092870,2026-08-27T14:55:34.231803
1,0,repl,4,False,37,0.032,10,2026-08-27T14:55:34.231898,2026-08-27T14:55:34.263901
1,0,repl,4,False,38,0.0188,10,2026-08-27T14:55:34.263980,2026-08-27T14:55:34.282837
1,0,repl,4,False,39,0.0262,10,2026-08-27T14:55:34.282900,2026-08-27T14:55:34.309092
1,0,repl,4,False,40,0.0702,10,2026-08-27T14:55:34.309154,2026-08-27T14:55:34.379414
1,0,repl,4,False,41,0.0196,10,2026-08-27T14:55:34.379488,2026-08-27T14:55:34.399062
1,0,repl,4,False,42,0.0189,10,2026-08-27T14:55:34.399119,2026-08-27T14:55:34.417988
1,0,repl,4,False,43,0.0198,10,2026-08-27T14:55:34.418065,2026-08-27T14:55:34.437904
1,0,repl,5,False,1,0.0023,1,2026-08-27T14:55:34.439823,2026-08-27T14:55:34.442145
1,0,repl,5,False,2,0.0271,1,2026-08-27T14:55:34.442306,2026-08-27T14:55:34.469459
1,0,repl,5,False,3,0.0133,1,2026-08-27T14:55:34.469505,2026-08-27T14:55:34.482808
1,0,repl,5,False,4,0.0103,1,2026-08-27T14:55:34.482849,2026-08-27T14:55:34.493171
1,0,repl,5,False,5,0.1348,1,2026-08-27T14:55:34.493215,2026-08-27T14:55:34.628032
1,0,repl,5,False,6,0.1559,1,2026-08-27T14:55:34.628105,2026-08-27T14:55:34.783990
1,0,repl,5,False,7,0.0419,1,2026-08-27T14:55:34.784066,2026-08-27T14:55:34.826016
1,0,repl,5,False,8,0.0166,18,2026-08-27T14:55:34.826086,2026-08-27T14:55:34.842654
1,0,repl,5,False,9,0.1684,10,2026-08-27T14:55:34.842696,2026-08-27T14:55:35.011152
1,0,repl,5,False,10,0.2717,10,2026-08-27T14:55:35.011234,2026-08-27T14:55:35.282924
1,0,repl,5,False,11,0.0625,10,2026-08-27T14:55:35.283003,2026-08-27T14:55:35.345562
1,0,repl,5,False,12,0.0695,10,2026-08-27T14:55:35.345644,2026-08-27T14:55:35.415187
1,0,repl,5,False,13,0.1278,10,2026-08-27T14:55:35.415262,2026-08-27T14:55:35.543070
1,0,repl,5,False,14,0.2609,10,2026-08-27T14:55:35.543146,2026-08-27T14:55:35.804071
1,0,repl,5,False,15,0.1379,10,2026-08-27T14:55:35.804150,2026-08-27T14:55:35.942060
1,0,repl,5,False,16,0.1444,10,2026-08-27T14:55:35.942137,2026-08-27T14:55:36.086537
1,0,repl,5,False,17,0.2773,10,2026-08-27T14:55:36.086615,2026-08-27T14:55:36.363916
1,0,repl,5,False,18,0.3018,10,2026-08-27T14:55:36.363996,2026-08-27T14:55:36.665812
1,0,repl,5,False,19,0.5854,10,2026-08-27T14:55:36.665896,2026-08-27T14:55:37.251359
1,0,repl,5,False,20,0.0101,4,2026-08-27T14:55:37.251438,2026-08-27T14:55:37.261575
1,0,repl,5,False,21,0.2005,1,2026-08-27T14:55:37.261638,2026-08-27T14:55:37.462155
1,0,repl,5,False,22,0.1994,10,2026-08-27T14:55:37.462232,2026-08-27T14:55:37.661621
1,0,repl,5,False,23,0.3974,10,2026-08-27T14:55:37.661694,2026-08-27T14:55:38.059140
1,0,repl,5,False,24,0.0763,10,2026-08-27T14:55:38.059215,2026-08-27T14:55:38.135533
1,0,repl,5,False,25,0.0164,10,2026-08-27T14:55:38.135602,2026-08-27T14:55:38.152010
1,0,repl,5,False,26,0.0925,10,2026-08-27T14:55:38.152074,2026-08-27T14:55:38.244636
1,0,repl,5,False,27,0.0201,10,2026-08-27T14:55:38.244709,2026-08-27T14:55:38.264816
1,0,repl,5,False,28,0.1579,25,2026-08-27T14:55:38.264881,2026-08-27T14:55:38.422781
1,0,repl,5,False,29,2.5932,25,2026-08-27T14:55:38.422859,2026-08-27T14:55:41.016044
1,0,repl,5,False,30,0.0515,1,2026-08-27T14:55:41.016226,2026-08-27T14:55:41.067727
1,0,repl,5,False,31,0.149,10,2026-08-27T14:55:41.067789,2026-08-27T14:55:41.216847
1,0,repl,5,False,32,0.3407,10,2026-08-27T14:55:41.216926,2026-08-27T14:55:41.557598
1,0,repl,5,False,33,0.8111,10,2026-08-27T14:55:41.557668,2026-08-27T14:55:42.368796
1,0,repl,5,False,34,0.4887,10,2026-08-27T14:55:42.368874,2026-08-27T14:55:42.857558
1,0,repl,5,False,35,0.5691,10,2026-08-27T14:55:42.857632,2026-08-27T14:55:43.426723
1,0,repl,5,False,36,0.1368,10,2026-08-27T14:55:43.426801,2026-08-27T14:55:43.563585
1,0,repl,5,False,37,0.0336,10,2026-08-27T14:55:43.563661,2026-08-27T14:55:43.597304
1,0,repl,5,False,38,0.0143,10,2026-08-27T14:55:43.597383,2026-08-27T14:55:43.611710
