bench,streams,tag,phase,query,mean_s,std_s,n
clickbench,16,firsttouch,cold,1,0.0118,0.0,1
clickbench,16,firsttouch,warm,1,0.0065,0.0007,9
clickbench,16,firsttouch,cold,2,0.5637,0.0,1
clickbench,16,firsttouch,warm,2,0.2551,0.0313,9
clickbench,16,firsttouch,cold,3,0.9577,0.0,1
clickbench,16,firsttouch,warm,3,0.3872,0.1296,9
clickbench,16,firsttouch,cold,4,0.8309,0.0,1
clickbench,16,firsttouch,warm,4,0.3506,0.1121,9
clickbench,16,firsttouch,cold,5,3.9144,0.0,1
clickbench,16,firsttouch,warm,5,2.8575,1.2274,9
clickbench,16,firsttouch,cold,6,2.5644,0.0,1
clickbench,16,firsttouch,warm,6,2.3676,1.1622,9
clickbench,16,firsttouch,cold,7,0.2603,0.0,1
clickbench,16,firsttouch,warm,7,0.127,0.0065,9
clickbench,16,firsttouch,cold,8,0.4364,0.0,1
clickbench,16,firsttouch,warm,8,0.2693,0.0446,9
clickbench,16,firsttouch,cold,9,4.1047,0.0,1
clickbench,16,firsttouch,warm,9,2.7501,1.1357,9
clickbench,16,firsttouch,cold,10,6.6025,0.0,1
clickbench,16,firsttouch,warm,10,2.9284,1.0487,9
clickbench,16,firsttouch,cold,11,1.714,0.0,1
clickbench,16,firsttouch,warm,11,1.0329,0.2162,9
clickbench,16,firsttouch,cold,12,1.9421,0.0,1
clickbench,16,firsttouch,warm,12,1.3286,0.2236,9
clickbench,16,firsttouch,cold,13,4.1563,0.0,1
clickbench,16,firsttouch,warm,13,2.4316,1.1324,9
clickbench,16,firsttouch,cold,14,8.1053,0.0,1
clickbench,16,firsttouch,warm,14,5.6103,0.9934,9
clickbench,16,firsttouch,cold,15,4.2426,0.0,1
clickbench,16,firsttouch,warm,15,3.8891,1.1946,9
clickbench,16,firsttouch,cold,16,2.8201,0.0,1
clickbench,16,firsttouch,warm,16,3.4831,0.8886,9
clickbench,16,firsttouch,cold,17,7.016,0.0,1
clickbench,16,firsttouch,warm,17,4.0068,1.6068,9
clickbench,16,firsttouch,cold,18,3.1432,0.0,1
clickbench,16,firsttouch,warm,18,3.0525,0.9546,9
clickbench,16,firsttouch,cold,19,4.3665,0.0,1
clickbench,16,firsttouch,warm,19,3.7428,1.5471,9
clickbench,16,firsttouch,cold,20,0.249,0.0,1
clickbench,16,firsttouch,warm,20,0.1912,0.0456,9
clickbench,16,firsttouch,cold,21,2.86,0.0,1
clickbench,16,firsttouch,warm,21,1.3232,0.4354,9
clickbench,16,firsttouch,cold,22,0.9708,0.0,1
clickbench,16,firsttouch,warm,22,1.1648,0.5291,9
clickbench,16,firsttouch,cold,23,2.3692,0.0,1
clickbench,16,firsttouch,warm,23,1.39,0.6087,9
clickbench,16,firsttouch,cold,24,0.7706,0.0,1
clickbench,16,firsttouch,warm,24,0.8641,0.0731,9
clickbench,16,firsttouch,cold,25,0.1552,0.0,1
clickbench,16,firsttouch,warm,25,0.1616,0.0178,9
clickbench,16,firsttouch,cold,26,0.7418,0.0,1
clickbench,16,firsttouch,warm,26,0.5996,0.1543,9
clickbench,16,firsttouch,cold,27,0.1313,0.0,1
clickbench,16,firsttouch,warm,27,0.1514,0.036,9
clickbench,16,firsttouch,cold,28,0.6692,0.0,1
clickbench,16,firsttouch,warm,28,0.6939,0.1956,9
clickbench,16,firsttouch,cold,29,5.4326,0.0,1
clickbench,16,firsttouch,warm,29,4.8433,0.3821,9
clickbench,16,firsttouch,cold,30,0.4976,0.0,1
clickbench,16,firsttouch,warm,30,0.5645,0.1167,9
clickbench,16,firsttouch,cold,31,2.7899,0.0,1
clickbench,16,firsttouch,warm,31,1.8583,1.0211,9
clickbench,16,firsttouch,cold,32,1.7174,0.0,1
clickbench,16,firsttouch,warm,32,1.8109,0.3888,9
clickbench,16,firsttouch,cold,33,4.9153,0.0,1
clickbench,16,firsttouch,warm,33,2.7541,0.6652,9
clickbench,16,firsttouch,cold,34,2.405,0.0,1
clickbench,16,firsttouch,warm,34,2.1012,0.8489,9
clickbench,16,firsttouch,cold,35,3.6561,0.0,1
clickbench,16,firsttouch,warm,35,2.0606,0.5043,9
clickbench,16,firsttouch,cold,36,1.2121,0.0,1
clickbench,16,firsttouch,warm,36,0.9944,0.3146,9
clickbench,16,firsttouch,cold,37,0.3322,0.0,1
clickbench,16,firsttouch,warm,37,0.2846,0.021,9
clickbench,16,firsttouch,cold,38,0.0878,0.0,1
clickbench,16,firsttouch,warm,38,0.1161,0.018,9
clickbench,16,firsttouch,cold,39,0.1352,0.0,1
clickbench,16,firsttouch,warm,39,0.1494,0.0246,9
clickbench,16,firsttouch,cold,40,0.6217,0.0,1
clickbench,16,firsttouch,warm,40,0.5894,0.0698,9
clickbench,16,firsttouch,cold,41,0.0789,0.0,1
clickbench,16,firsttouch,warm,41,0.0939,0.0114,9
clickbench,16,firsttouch,cold,42,0.0929,0.0,1
clickbench,16,firsttouch,warm,42,0.1112,0.006,9
clickbench,16,firsttouch,cold,43,0.1087,0.0,1
clickbench,16,firsttouch,warm,43,0.1155,0.0128,9
clickbench,16,imbalanced,cold,1,0.0186,0.0,1
clickbench,16,imbalanced,warm,1,0.0118,0.0019,9
clickbench,16,imbalanced,cold,2,0.7806,0.0,1
clickbench,16,imbalanced,warm,2,0.3713,0.0471,9
clickbench,16,imbalanced,cold,3,0.5721,0.0,1
clickbench,16,imbalanced,warm,3,0.487,0.1378,9
clickbench,16,imbalanced,cold,4,0.6375,0.0,1
clickbench,16,imbalanced,warm,4,0.3892,0.1848,9
clickbench,16,imbalanced,cold,5,5.1992,0.0,1
clickbench,16,imbalanced,warm,5,2.725,1.7875,9
clickbench,16,imbalanced,cold,6,4.5169,0.0,1
clickbench,16,imbalanced,warm,6,2.4512,1.6437,9
clickbench,16,imbalanced,cold,7,0.3895,0.0,1
clickbench,16,imbalanced,warm,7,0.2624,0.035,9
clickbench,16,imbalanced,cold,8,0.5318,0.0,1
clickbench,16,imbalanced,warm,8,0.3707,0.0665,9
clickbench,16,imbalanced,cold,9,3.7912,0.0,1
clickbench,16,imbalanced,warm,9,5.8861,2.1088,9
clickbench,16,imbalanced,cold,10,6.7659,0.0,1
clickbench,16,imbalanced,warm,10,6.6404,1.2935,9
clickbench,16,imbalanced,cold,11,2.1145,0.0,1
clickbench,16,imbalanced,warm,11,1.9832,0.5617,9
clickbench,16,imbalanced,cold,12,2.2939,0.0,1
clickbench,16,imbalanced,warm,12,2.7522,0.6446,9
clickbench,16,imbalanced,cold,13,8.1569,0.0,1
clickbench,16,imbalanced,warm,13,5.7322,1.6336,9
clickbench,16,imbalanced,cold,14,11.7848,0.0,1
clickbench,16,imbalanced,warm,14,7.9998,2.0229,9
clickbench,16,imbalanced,cold,15,8.6296,0.0,1
clickbench,16,imbalanced,warm,15,5.083,1.6179,9
clickbench,16,imbalanced,cold,16,4.5213,0.0,1
clickbench,16,imbalanced,warm,16,4.5979,1.2521,9
clickbench,16,imbalanced,cold,17,5.3973,0.0,1
clickbench,16,imbalanced,warm,17,6.6371,3.4617,9
clickbench,16,imbalanced,cold,18,5.8814,0.0,1
clickbench,16,imbalanced,warm,18,5.5631,0.9295,9
clickbench,16,imbalanced,cold,19,15.0596,0.0,1
clickbench,16,imbalanced,warm,19,9.7252,3.1007,9
clickbench,16,imbalanced,cold,20,0.425,0.0,1
clickbench,16,imbalanced,warm,20,0.3985,0.0649,9
clickbench,16,imbalanced,cold,21,4.1771,0.0,1
clickbench,16,imbalanced,warm,21,2.2727,0.5032,9
clickbench,16,imbalanced,cold,22,2.9839,0.0,1
clickbench,16,imbalanced,warm,22,1.8583,0.3604,9
clickbench,16,imbalanced,cold,23,3.9112,0.0,1
clickbench,16,imbalanced,warm,23,2.6569,0.8915,9
clickbench,16,imbalanced,cold,24,1.4913,0.0,1
clickbench,16,imbalanced,warm,24,1.4502,0.1935,9
clickbench,16,imbalanced,cold,25,0.1919,0.0,1
clickbench,16,imbalanced,warm,25,0.2843,0.0549,9
clickbench,16,imbalanced,cold,26,0.825,0.0,1
clickbench,16,imbalanced,warm,26,0.9772,0.2913,9
clickbench,16,imbalanced,cold,27,0.3361,0.0,1
clickbench,16,imbalanced,warm,27,0.3013,0.0465,9
clickbench,16,imbalanced,cold,28,1.0209,0.0,1
clickbench,16,imbalanced,warm,28,1.4825,0.2072,9
clickbench,16,imbalanced,cold,29,8.6071,0.0,1
clickbench,16,imbalanced,warm,29,7.2703,1.1085,9
clickbench,16,imbalanced,cold,30,0.4918,0.0,1
clickbench,16,imbalanced,warm,30,0.6702,0.0935,9
clickbench,16,imbalanced,cold,31,1.5222,0.0,1
clickbench,16,imbalanced,warm,31,2.9494,0.8145,9
clickbench,16,imbalanced,cold,32,2.7225,0.0,1
clickbench,16,imbalanced,warm,32,3.4314,1.4577,9
clickbench,16,imbalanced,cold,33,6.7465,0.0,1
clickbench,16,imbalanced,warm,33,7.128,2.5162,9
clickbench,16,imbalanced,cold,34,5.5548,0.0,1
clickbench,16,imbalanced,warm,34,5.7887,1.5848,9
clickbench,16,imbalanced,cold,35,4.6958,0.0,1
clickbench,16,imbalanced,warm,35,5.3516,1.292,9
clickbench,16,imbalanced,cold,36,1.5148,0.0,1
clickbench,16,imbalanced,warm,36,1.9492,0.4888,9
clickbench,16,imbalanced,cold,37,0.5984,0.0,1
clickbench,16,imbalanced,warm,37,0.6809,0.1945,9
clickbench,16,imbalanced,cold,38,0.2093,0.0,1
clickbench,16,imbalanced,warm,38,0.1977,0.0368,9
clickbench,16,imbalanced,cold,39,0.2789,0.0,1
clickbench,16,imbalanced,warm,39,0.2429,0.0291,9
clickbench,16,imbalanced,cold,40,0.9487,0.0,1
clickbench,16,imbalanced,warm,40,1.1854,0.1818,9
clickbench,16,imbalanced,cold,41,0.1351,0.0,1
clickbench,16,imbalanced,warm,41,0.1567,0.0317,9
clickbench,16,imbalanced,cold,42,0.153,0.0,1
clickbench,16,imbalanced,warm,42,0.1726,0.0271,9
clickbench,16,imbalanced,cold,43,0.1958,0.0,1
clickbench,16,imbalanced,warm,43,0.1541,0.0224,9
clickbench,16,interleaved,cold,1,0.0098,0.0,1
clickbench,16,interleaved,warm,1,0.0067,0.0007,9
clickbench,16,interleaved,cold,2,0.5984,0.0,1
clickbench,16,interleaved,warm,2,0.2406,0.0385,9
clickbench,16,interleaved,cold,3,0.6187,0.0,1
clickbench,16,interleaved,warm,3,0.2866,0.1408,9
clickbench,16,interleaved,cold,4,1.2818,0.0,1
clickbench,16,interleaved,warm,4,0.2503,0.1813,9
