streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
16,0,interleaved,1,True,1,0.0715,1,2026-08-27T16:53:00.259577,2026-08-27T16:53:00.331094
16,6,interleaved,1,True,7,2.192,1,2026-08-27T16:53:00.266106,2026-08-27T16:53:02.458184
16,1,interleaved,1,True,2,2.316,1,2026-08-27T16:53:00.261358,2026-08-27T16:53:02.577423
16,0,interleaved,1,True,2,2.3319,1,2026-08-27T16:53:00.331174,2026-08-27T16:53:02.663138
16,2,interleaved,1,True,3,2.4742,1,2026-08-27T16:53:00.262198,2026-08-27T16:53:02.736391
16,7,interleaved,1,True,8,2.5699,18,2026-08-27T16:53:00.267102,2026-08-27T16:53:02.836999
16,6,interleaved,1,True,8,0.3788,18,2026-08-27T16:53:02.458266,2026-08-27T16:53:02.837092
16,1,interleaved,1,True,3,0.6833,1,2026-08-27T16:53:02.577515,2026-08-27T16:53:03.260882
16,0,interleaved,1,True,3,0.7043,1,2026-08-27T16:53:02.663229,2026-08-27T16:53:03.367521
16,3,interleaved,1,True,4,6.2249,1,2026-08-27T16:53:00.263225,2026-08-27T16:53:06.488181
16,1,interleaved,1,True,4,3.2471,1,2026-08-27T16:53:03.260962,2026-08-27T16:53:06.508085
16,2,interleaved,1,True,4,3.7801,1,2026-08-27T16:53:02.736466,2026-08-27T16:53:06.516602
16,0,interleaved,1,True,4,3.1491,1,2026-08-27T16:53:03.367591,2026-08-27T16:53:06.516739
16,11,interleaved,1,True,12,6.488,10,2026-08-27T16:53:00.277061,2026-08-27T16:53:06.765048
16,10,interleaved,1,True,11,6.4925,10,2026-08-27T16:53:00.274648,2026-08-27T16:53:06.767170
16,6,interleaved,1,True,9,4.0266,10,2026-08-27T16:53:02.925984,2026-08-27T16:53:06.952678
16,7,interleaved,1,True,9,4.0347,10,2026-08-27T16:53:02.926981,2026-08-27T16:53:06.961732
16,8,interleaved,1,True,9,6.717,10,2026-08-27T16:53:00.270063,2026-08-27T16:53:06.987138
16,10,interleaved,1,True,12,0.2801,10,2026-08-27T16:53:06.767305,2026-08-27T16:53:07.047413
16,15,interleaved,1,True,16,6.7889,10,2026-08-27T16:53:00.281952,2026-08-27T16:53:07.070854
16,4,interleaved,1,True,5,6.8857,1,2026-08-27T16:53:00.264062,2026-08-27T16:53:07.149761
16,11,interleaved,1,True,13,0.7102,10,2026-08-27T16:53:06.765157,2026-08-27T16:53:07.475423
