sf,streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
10,1,0,repl,3,False,8,0.1842,2,2026-08-27T14:52:33.319625,2026-08-27T14:52:33.503860
10,1,0,repl,3,False,9,0.2852,175,2026-08-27T14:52:33.503946,2026-08-27T14:52:33.789165
10,1,0,repl,3,False,10,0.3311,20,2026-08-27T14:52:33.789246,2026-08-27T14:52:34.120373
10,1,0,repl,3,False,11,0.0367,0,2026-08-27T14:52:34.120455,2026-08-27T14:52:34.157185
10,1,0,repl,3,False,12,0.1218,2,2026-08-27T14:52:34.157270,2026-08-27T14:52:34.279077
10,1,0,repl,3,False,13,0.2904,45,2026-08-27T14:52:34.279165,2026-08-27T14:52:34.569612
10,1,0,repl,3,False,14,0.0813,1,2026-08-27T14:52:34.569695,2026-08-27T14:52:34.651048
10,1,0,repl,3,False,15,0.0393,1,2026-08-27T14:52:34.651132,2026-08-27T14:52:34.690443
10,1,0,repl,3,False,16,0.1451,27840,2026-08-27T14:52:34.690526,2026-08-27T14:52:34.835665
10,1,0,repl,3,False,17,0.0737,1,2026-08-27T14:52:34.835744,2026-08-27T14:52:34.909430
10,1,0,repl,3,False,18,0.2116,100,2026-08-27T14:52:34.909522,2026-08-27T14:52:35.121188
10,1,0,repl,3,False,19,0.0745,1,2026-08-27T14:52:35.121261,2026-08-27T14:52:35.195753
10,1,0,repl,3,False,20,0.0987,1804,2026-08-27T14:52:35.195838,2026-08-27T14:52:35.294551
10,1,0,repl,3,False,21,0.2156,100,2026-08-27T14:52:35.294637,2026-08-27T14:52:35.510242
10,1,0,repl,3,False,22,0.1287,7,2026-08-27T14:52:35.510309,2026-08-27T14:52:35.639072
10,1,0,repl,4,False,1,0.0572,4,2026-08-27T14:52:35.643267,2026-08-27T14:52:35.700525
10,1,0,repl,4,False,2,0.0609,100,2026-08-27T14:52:35.700582,2026-08-27T14:52:35.761537
10,1,0,repl,4,False,3,0.137,10,2026-08-27T14:52:35.761594,2026-08-27T14:52:35.898589
10,1,0,repl,4,False,4,0.144,5,2026-08-27T14:52:35.898648,2026-08-27T14:52:36.042661
10,1,0,repl,4,False,5,0.1442,5,2026-08-27T14:52:36.042735,2026-08-27T14:52:36.186965
10,1,0,repl,4,False,6,0.0167,1,2026-08-27T14:52:36.187052,2026-08-27T14:52:36.203744
10,1,0,repl,4,False,7,0.1177,4,2026-08-27T14:52:36.203820,2026-08-27T14:52:36.321545
10,1,0,repl,4,False,8,0.1838,2,2026-08-27T14:52:36.321625,2026-08-27T14:52:36.505414
10,1,0,repl,4,False,9,0.2592,175,2026-08-27T14:52:36.505509,2026-08-27T14:52:36.764705
10,1,0,repl,4,False,10,0.2753,20,2026-08-27T14:52:36.764786,2026-08-27T14:52:37.040097
10,1,0,repl,4,False,11,0.0301,0,2026-08-27T14:52:37.040180,2026-08-27T14:52:37.070278
10,1,0,repl,4,False,12,0.0989,2,2026-08-27T14:52:37.070365,2026-08-27T14:52:37.169317
10,1,0,repl,4,False,13,0.2816,45,2026-08-27T14:52:37.169402,2026-08-27T14:52:37.450995
10,1,0,repl,4,False,14,0.071,1,2026-08-27T14:52:37.451081,2026-08-27T14:52:37.522102
10,1,0,repl,4,False,15,0.0402,1,2026-08-27T14:52:37.522190,2026-08-27T14:52:37.562415
10,1,0,repl,4,False,16,0.1439,27840,2026-08-27T14:52:37.562499,2026-08-27T14:52:37.706461
10,1,0,repl,4,False,17,0.0678,1,2026-08-27T14:52:37.706542,2026-08-27T14:52:37.774315
10,1,0,repl,4,False,18,0.2157,100,2026-08-27T14:52:37.774394,2026-08-27T14:52:37.990136
10,1,0,repl,4,False,19,0.0708,1,2026-08-27T14:52:37.990214,2026-08-27T14:52:38.061005
10,1,0,repl,4,False,20,0.0861,1804,2026-08-27T14:52:38.061086,2026-08-27T14:52:38.147224
10,1,0,repl,4,False,21,0.2064,100,2026-08-27T14:52:38.147305,2026-08-27T14:52:38.353721
10,1,0,repl,4,False,22,0.12,7,2026-08-27T14:52:38.353804,2026-08-27T14:52:38.473832
10,1,0,repl,5,False,1,0.0523,4,2026-08-27T14:52:38.475270,2026-08-27T14:52:38.527638
10,1,0,repl,5,False,2,0.0604,100,2026-08-27T14:52:38.527718,2026-08-27T14:52:38.588107
10,1,0,repl,5,False,3,0.1442,10,2026-08-27T14:52:38.588191,2026-08-27T14:52:38.732409
10,1,0,repl,5,False,4,0.1395,5,2026-08-27T14:52:38.732489,2026-08-27T14:52:38.872019
10,1,0,repl,5,False,5,0.1365,5,2026-08-27T14:52:38.872102,2026-08-27T14:52:39.008665
10,1,0,repl,5,False,6,0.0175,1,2026-08-27T14:52:39.008761,2026-08-27T14:52:39.026269
10,1,0,repl,5,False,7,0.1269,4,2026-08-27T14:52:39.026336,2026-08-27T14:52:39.153255
10,1,0,repl,5,False,8,0.18,2,2026-08-27T14:52:39.153311,2026-08-27T14:52:39.333362
10,1,0,repl,5,False,9,0.2486,175,2026-08-27T14:52:39.333423,2026-08-27T14:52:39.582032
10,1,0,repl,5,False,10,0.3333,20,2026-08-27T14:52:39.582105,2026-08-27T14:52:39.915458
10,1,0,repl,5,False,11,0.0316,0,2026-08-27T14:52:39.915527,2026-08-27T14:52:39.947100
10,1,0,repl,5,False,12,0.1053,2,2026-08-27T14:52:39.947161,2026-08-27T14:52:40.052490
10,1,0,repl,5,False,13,0.2872,45,2026-08-27T14:52:40.052551,2026-08-27T14:52:40.339793
10,1,0,repl,5,False,14,0.0688,1,2026-08-27T14:52:40.339852,2026-08-27T14:52:40.408653
10,1,0,repl,5,False,15,0.0408,1,2026-08-27T14:52:40.408729,2026-08-27T14:52:40.449556
10,1,0,repl,5,False,16,0.1452,27840,2026-08-27T14:52:40.449640,2026-08-27T14:52:40.594897
10,1,0,repl,5,False,17,0.0696,1,2026-08-27T14:52:40.594959,2026-08-27T14:52:40.664578
10,1,0,repl,5,False,18,0.2292,100,2026-08-27T14:52:40.664656,2026-08-27T14:52:40.893924
10,1,0,repl,5,False,19,0.0721,1,2026-08-27T14:52:40.894001,2026-08-27T14:52:40.966139
10,1,0,repl,5,False,20,0.0881,1804,2026-08-27T14:52:40.966205,2026-08-27T14:52:41.054321
10,1,0,repl,5,False,21,0.1984,100,2026-08-27T14:52:41.054394,2026-08-27T14:52:41.252776
10,1,0,repl,5,False,22,0.1337,7,2026-08-27T14:52:41.252859,2026-08-27T14:52:41.386555
10,1,0,repl,6,False,1,0.0538,4,2026-08-27T14:52:41.389088,2026-08-27T14:52:41.442932
10,1,0,repl,6,False,2,0.0542,100,2026-08-27T14:52:41.443010,2026-08-27T14:52:41.497233
10,1,0,repl,6,False,3,0.1344,10,2026-08-27T14:52:41.497295,2026-08-27T14:52:41.631671
10,1,0,repl,6,False,4,0.1425,5,2026-08-27T14:52:41.631728,2026-08-27T14:52:41.774241
10,1,0,repl,6,False,5,0.1413,5,2026-08-27T14:52:41.774319,2026-08-27T14:52:41.915633
10,1,0,repl,6,False,6,0.015,1,2026-08-27T14:52:41.915709,2026-08-27T14:52:41.930764
10,1,0,repl,6,False,7,0.1214,4,2026-08-27T14:52:41.930834,2026-08-27T14:52:42.052252
10,1,0,repl,6,False,8,0.185,2,2026-08-27T14:52:42.052331,2026-08-27T14:52:42.237379
10,1,0,repl,6,False,9,0.2503,175,2026-08-27T14:52:42.237464,2026-08-27T14:52:42.487744
10,1,0,repl,6,False,10,0.2608,20,2026-08-27T14:52:42.487825,2026-08-27T14:52:42.748673
10,1,0,repl,6,False,11,0.0295,0,2026-08-27T14:52:42.748754,2026-08-27T14:52:42.778238
10,1,0,repl,6,False,12,0.0964,2,2026-08-27T14:52:42.778326,2026-08-27T14:52:42.874712
10,1,0,repl,6,False,13,0.2705,45,2026-08-27T14:52:42.874795,2026-08-27T14:52:43.145336
10,1,0,repl,6,False,14,0.0707,1,2026-08-27T14:52:43.145416,2026-08-27T14:52:43.216099
10,1,0,repl,6,False,15,0.0446,1,2026-08-27T14:52:43.216182,2026-08-27T14:52:43.260805
10,1,0,repl,6,False,16,0.1502,27840,2026-08-27T14:52:43.260885,2026-08-27T14:52:43.411089
10,1,0,repl,6,False,17,0.0701,1,2026-08-27T14:52:43.411168,2026-08-27T14:52:43.481295
10,1,0,repl,6,False,18,0.2133,100,2026-08-27T14:52:43.481375,2026-08-27T14:52:43.694709
