streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
16,7,numa-balancing,1,True,16,0.4519,10,2026-08-27T17:24:08.423869,2026-08-27T17:24:08.875799
16,8,numa-balancing,1,True,14,1.7865,10,2026-08-27T17:24:07.355553,2026-08-27T17:24:09.142074
16,3,numa-balancing,1,True,14,1.0971,10,2026-08-27T17:24:08.213563,2026-08-27T17:24:09.310661
16,6,numa-balancing,1,True,17,0.9478,10,2026-08-27T17:24:08.474553,2026-08-27T17:24:09.422401
16,11,numa-balancing,1,True,16,1.4748,10,2026-08-27T17:24:08.086995,2026-08-27T17:24:09.561867
16,3,numa-balancing,1,True,15,0.4804,10,2026-08-27T17:24:09.310997,2026-08-27T17:24:09.791418
16,7,numa-balancing,1,True,17,0.9684,10,2026-08-27T17:24:08.875946,2026-08-27T17:24:09.844404
16,8,numa-balancing,1,True,15,0.7079,10,2026-08-27T17:24:09.142216,2026-08-27T17:24:09.850199
16,12,numa-balancing,1,True,13,11.3806,10,2026-08-27T17:23:58.790222,2026-08-27T17:24:10.170843
16,4,numa-balancing,1,True,5,11.453,1,2026-08-27T17:23:58.774981,2026-08-27T17:24:10.228077
16,10,numa-balancing,1,True,18,1.9054,10,2026-08-27T17:24:08.481721,2026-08-27T17:24:10.387185
16,3,numa-balancing,1,True,16,0.6031,10,2026-08-27T17:24:09.791536,2026-08-27T17:24:10.394703
16,9,numa-balancing,1,True,10,11.6775,10,2026-08-27T17:23:58.785206,2026-08-27T17:24:10.462703
16,6,numa-balancing,1,True,18,1.0638,10,2026-08-27T17:24:09.422581,2026-08-27T17:24:10.486412
16,11,numa-balancing,1,True,17,1.2215,10,2026-08-27T17:24:09.561970,2026-08-27T17:24:10.783459
16,3,numa-balancing,1,True,17,0.6709,10,2026-08-27T17:24:10.394817,2026-08-27T17:24:11.065712
16,8,numa-balancing,1,True,16,1.3075,10,2026-08-27T17:24:09.850351,2026-08-27T17:24:11.157837
16,12,numa-balancing,1,True,14,1.0917,10,2026-08-27T17:24:10.170984,2026-08-27T17:24:11.262693
16,15,numa-balancing,1,True,16,12.9989,10,2026-08-27T17:23:58.793478,2026-08-27T17:24:11.792426
16,5,numa-balancing,1,True,6,13.3605,1,2026-08-27T17:23:58.776078,2026-08-27T17:24:12.136634
16,5,numa-balancing,1,True,7,0.0334,1,2026-08-27T17:24:12.136727,2026-08-27T17:24:12.170178
16,9,numa-balancing,1,True,11,1.8306,10,2026-08-27T17:24:10.462871,2026-08-27T17:24:12.293519
16,7,numa-balancing,1,True,18,2.4917,10,2026-08-27T17:24:09.844515,2026-08-27T17:24:12.336210
16,5,numa-balancing,1,True,8,0.244,18,2026-08-27T17:24:12.170296,2026-08-27T17:24:12.414365
16,3,numa-balancing,1,True,18,2.4006,10,2026-08-27T17:24:11.065805,2026-08-27T17:24:13.466477
16,12,numa-balancing,1,True,15,2.4487,10,2026-08-27T17:24:11.262787,2026-08-27T17:24:13.711472
16,8,numa-balancing,1,True,17,3.1403,10,2026-08-27T17:24:11.157930,2026-08-27T17:24:14.298235
16,12,numa-balancing,1,True,16,0.7114,10,2026-08-27T17:24:13.711578,2026-08-27T17:24:14.422989
16,7,numa-balancing,1,True,19,2.2651,10,2026-08-27T17:24:12.336298,2026-08-27T17:24:14.601410
16,7,numa-balancing,1,True,20,0.0526,4,2026-08-27T17:24:14.601529,2026-08-27T17:24:14.654208
16,3,numa-balancing,1,True,19,1.6239,10,2026-08-27T17:24:13.469634,2026-08-27T17:24:15.093609
16,3,numa-balancing,1,True,20,0.2562,4,2026-08-27T17:24:15.093777,2026-08-27T17:24:15.350040
16,8,numa-balancing,1,True,18,1.2153,10,2026-08-27T17:24:14.298362,2026-08-27T17:24:15.513675
16,1,numa-balancing,1,True,5,11.299,1,2026-08-27T17:24:04.250340,2026-08-27T17:24:15.549332
16,4,numa-balancing,1,True,6,5.3622,1,2026-08-27T17:24:10.228227,2026-08-27T17:24:15.590408
16,4,numa-balancing,1,True,7,0.0705,1,2026-08-27T17:24:15.590509,2026-08-27T17:24:15.661073
16,12,numa-balancing,1,True,17,1.255,10,2026-08-27T17:24:14.423096,2026-08-27T17:24:15.678178
16,2,numa-balancing,1,True,5,11.4083,1,2026-08-27T17:24:04.273583,2026-08-27T17:24:15.681904
16,0,numa-balancing,1,True,5,11.4184,1,2026-08-27T17:24:04.267700,2026-08-27T17:24:15.686168
16,9,numa-balancing,1,True,12,3.4619,10,2026-08-27T17:24:12.293613,2026-08-27T17:24:15.755549
16,13,numa-balancing,1,True,17,7.0804,10,2026-08-27T17:24:08.689142,2026-08-27T17:24:15.769561
16,4,numa-balancing,1,True,8,0.3633,18,2026-08-27T17:24:15.669661,2026-08-27T17:24:16.033011
16,1,numa-balancing,1,True,6,0.7565,1,2026-08-27T17:24:15.549530,2026-08-27T17:24:16.306101
16,1,numa-balancing,1,True,7,0.0543,1,2026-08-27T17:24:16.306264,2026-08-27T17:24:16.360548
16,1,numa-balancing,1,True,8,0.2017,18,2026-08-27T17:24:16.360685,2026-08-27T17:24:16.562382
16,0,numa-balancing,1,True,6,1.3635,1,2026-08-27T17:24:15.686287,2026-08-27T17:24:17.049803
16,0,numa-balancing,1,True,7,0.0524,1,2026-08-27T17:24:17.049940,2026-08-27T17:24:17.102344
16,8,numa-balancing,1,True,19,1.6375,10,2026-08-27T17:24:15.517643,2026-08-27T17:24:17.155159
16,4,numa-balancing,1,True,9,1.1235,10,2026-08-27T17:24:16.033108,2026-08-27T17:24:17.156676
16,0,numa-balancing,1,True,8,0.0631,18,2026-08-27T17:24:17.102482,2026-08-27T17:24:17.165579
