streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
16,4,imbalanced,1,True,11,1.2065,10,2026-08-27T16:13:24.668028,2026-08-27T16:13:25.874555
16,6,imbalanced,1,True,16,1.0701,10,2026-08-27T16:13:24.865651,2026-08-27T16:13:25.935755
16,15,imbalanced,1,True,17,4.8946,10,2026-08-27T16:13:21.058961,2026-08-27T16:13:25.953579
16,11,imbalanced,1,True,17,1.499,10,2026-08-27T16:13:24.498206,2026-08-27T16:13:25.997211
16,10,imbalanced,1,True,18,1.396,10,2026-08-27T16:13:24.784379,2026-08-27T16:13:26.180465
16,4,imbalanced,1,True,12,1.0419,10,2026-08-27T16:13:25.874815,2026-08-27T16:13:26.916787
16,9,imbalanced,1,True,10,14.8757,10,2026-08-27T16:13:12.048928,2026-08-27T16:13:26.924702
16,12,imbalanced,1,True,13,15.0452,10,2026-08-27T16:13:12.056585,2026-08-27T16:13:27.101800
16,7,imbalanced,1,True,17,1.2957,10,2026-08-27T16:13:25.839270,2026-08-27T16:13:27.135000
16,0,imbalanced,1,True,5,10.8693,1,2026-08-27T16:13:16.938123,2026-08-27T16:13:27.807415
16,4,imbalanced,1,True,13,1.1016,10,2026-08-27T16:13:26.916999,2026-08-27T16:13:28.018612
16,8,imbalanced,1,True,10,10.3644,10,2026-08-27T16:13:18.192703,2026-08-27T16:13:28.557172
16,13,imbalanced,1,True,16,4.6131,10,2026-08-27T16:13:24.608008,2026-08-27T16:13:29.221123
16,8,imbalanced,1,True,11,0.8532,10,2026-08-27T16:13:28.557397,2026-08-27T16:13:29.410643
16,7,imbalanced,1,True,18,2.3757,10,2026-08-27T16:13:27.135097,2026-08-27T16:13:29.510836
16,11,imbalanced,1,True,18,4.12,10,2026-08-27T16:13:25.997366,2026-08-27T16:13:30.117437
16,6,imbalanced,1,True,17,4.3688,10,2026-08-27T16:13:25.935989,2026-08-27T16:13:30.304836
16,4,imbalanced,1,True,14,2.527,10,2026-08-27T16:13:28.018773,2026-08-27T16:13:30.545870
16,10,imbalanced,1,True,19,4.373,10,2026-08-27T16:13:26.180617,2026-08-27T16:13:30.553699
16,5,imbalanced,1,True,6,19.0845,1,2026-08-27T16:13:12.043181,2026-08-27T16:13:31.127740
16,10,imbalanced,1,True,20,0.6214,4,2026-08-27T16:13:30.553944,2026-08-27T16:13:31.175433
16,3,imbalanced,1,True,5,15.387,1,2026-08-27T16:13:15.788684,2026-08-27T16:13:31.175767
16,5,imbalanced,1,True,7,0.1247,1,2026-08-27T16:13:31.133674,2026-08-27T16:13:31.258418
16,13,imbalanced,1,True,17,2.402,10,2026-08-27T16:13:29.221310,2026-08-27T16:13:31.623349
