variant,tag,pass,warmup,query,elapsed_s,rows
base,firsttouch,4,False,4,0.0168,1
base,firsttouch,4,False,5,0.1789,1
base,firsttouch,4,False,6,0.134,1
base,firsttouch,4,False,7,0.0264,1
base,firsttouch,4,False,8,0.012,18
base,firsttouch,4,False,9,0.2284,10
base,firsttouch,4,False,10,0.3551,10
base,firsttouch,4,False,11,0.0834,10
base,firsttouch,4,False,12,0.102,10
base,firsttouch,4,False,13,0.1739,10
base,firsttouch,4,False,14,0.2997,10
base,firsttouch,4,False,15,0.179,10
base,firsttouch,4,False,16,0.1962,10
base,firsttouch,4,False,17,0.4169,10
base,firsttouch,4,False,18,0.4007,10
base,firsttouch,4,False,19,0.7508,10
base,firsttouch,4,False,20,0.0068,4
base,firsttouch,4,False,21,0.3197,1
base,firsttouch,4,False,22,0.3201,10
base,firsttouch,4,False,23,0.3215,10
base,firsttouch,4,False,24,0.0574,10
base,firsttouch,4,False,25,0.0168,10
base,firsttouch,4,False,26,0.06,10
base,firsttouch,4,False,27,0.0172,10
base,firsttouch,4,False,28,0.2525,25
base,firsttouch,4,False,29,3.7572,25
base,firsttouch,4,False,30,0.0689,1
base,firsttouch,4,False,31,0.1824,10
base,firsttouch,4,False,32,0.2438,10
base,firsttouch,4,False,33,1.1252,10
base,firsttouch,4,False,34,0.7912,10
base,firsttouch,4,False,35,0.8655,10
base,firsttouch,4,False,36,0.192,10
base,firsttouch,4,False,37,0.0378,10
base,firsttouch,4,False,38,0.0164,10
base,firsttouch,4,False,39,0.0307,10
base,firsttouch,4,False,40,0.0649,10
base,firsttouch,4,False,41,0.0113,10
base,firsttouch,4,False,42,0.0209,10
base,firsttouch,4,False,43,0.0165,10
base,firsttouch,5,False,1,0.0012,1
base,firsttouch,5,False,2,0.0221,1
base,firsttouch,5,False,3,0.0152,1
base,firsttouch,5,False,4,0.0167,1
base,firsttouch,5,False,5,0.1705,1
base,firsttouch,5,False,6,0.154,1
base,firsttouch,5,False,7,0.0264,1
base,firsttouch,5,False,8,0.0119,18
base,firsttouch,5,False,9,0.2385,10
base,firsttouch,5,False,10,0.3497,10
base,firsttouch,5,False,11,0.0764,10
base,firsttouch,5,False,12,0.0853,10
base,firsttouch,5,False,13,0.1685,10
base,firsttouch,5,False,14,0.3295,10
base,firsttouch,5,False,15,0.1821,10
base,firsttouch,5,False,16,0.1952,10
base,firsttouch,5,False,17,0.4133,10
base,firsttouch,5,False,18,0.3999,10
base,firsttouch,5,False,19,0.7728,10
base,firsttouch,5,False,20,0.0081,4
base,firsttouch,5,False,21,0.309,1
base,firsttouch,5,False,22,0.3042,10
base,firsttouch,5,False,23,0.3279,10
base,firsttouch,5,False,24,0.0608,10
base,firsttouch,5,False,25,0.0164,10
base,firsttouch,5,False,26,0.0617,10
base,firsttouch,5,False,27,0.019,10
base,firsttouch,5,False,28,0.2458,25
base,firsttouch,5,False,29,3.7882,25
base,firsttouch,5,False,30,0.0495,1
base,firsttouch,5,False,31,0.183,10
base,firsttouch,5,False,32,0.2416,10
base,firsttouch,5,False,33,1.128,10
base,firsttouch,5,False,34,0.8179,10
base,firsttouch,5,False,35,0.8925,10
base,firsttouch,5,False,36,0.1848,10
base,firsttouch,5,False,37,0.046,10
base,firsttouch,5,False,38,0.0138,10
base,firsttouch,5,False,39,0.0179,10
base,firsttouch,5,False,40,0.0966,10
base,firsttouch,5,False,41,0.0117,10
base,firsttouch,5,False,42,0.021,10
base,firsttouch,5,False,43,0.0138,10
base,firsttouch,6,False,1,0.0014,1
base,firsttouch,6,False,2,0.0241,1
base,firsttouch,6,False,3,0.0149,1
base,firsttouch,6,False,4,0.0168,1
base,firsttouch,6,False,5,0.1806,1
base,firsttouch,6,False,6,0.143,1
base,firsttouch,6,False,7,0.0318,1
base,firsttouch,6,False,8,0.013,18
base,firsttouch,6,False,9,0.2344,10
base,firsttouch,6,False,10,0.3534,10
base,firsttouch,6,False,11,0.1082,10
base,firsttouch,6,False,12,0.0773,10
base,firsttouch,6,False,13,0.1687,10
base,firsttouch,6,False,14,0.3015,10
base,firsttouch,6,False,15,0.1812,10
base,firsttouch,6,False,16,0.1941,10
base,firsttouch,6,False,17,0.4094,10
base,firsttouch,6,False,18,0.4086,10
base,firsttouch,6,False,19,0.7648,10
base,firsttouch,6,False,20,0.0095,4
base,firsttouch,6,False,21,0.3168,1
base,firsttouch,6,False,22,0.2991,10
base,firsttouch,6,False,23,0.3152,10
base,firsttouch,6,False,24,0.0615,10
base,firsttouch,6,False,25,0.0161,10
base,firsttouch,6,False,26,0.0605,10
base,firsttouch,6,False,27,0.0228,10
base,firsttouch,6,False,28,0.2383,25
base,firsttouch,6,False,29,3.8006,25
base,firsttouch,6,False,30,0.0491,1
base,firsttouch,6,False,31,0.1827,10
base,firsttouch,6,False,32,0.2385,10
base,firsttouch,6,False,33,1.1182,10
base,firsttouch,6,False,34,0.8053,10
base,firsttouch,6,False,35,0.8835,10
base,firsttouch,6,False,36,0.1925,10
base,firsttouch,6,False,37,0.0326,10
base,firsttouch,6,False,38,0.0194,10
base,firsttouch,6,False,39,0.0203,10
base,firsttouch,6,False,40,0.0983,10
base,firsttouch,6,False,41,0.0173,10
base,firsttouch,6,False,42,0.0192,10
base,firsttouch,6,False,43,0.0117,10
base,firsttouch,7,False,1,0.0014,1
base,firsttouch,7,False,2,0.0259,1
base,firsttouch,7,False,3,0.0149,1
base,firsttouch,7,False,4,0.017,1
base,firsttouch,7,False,5,0.1724,1
base,firsttouch,7,False,6,0.1454,1
base,firsttouch,7,False,7,0.0315,1
base,firsttouch,7,False,8,0.0125,18
base,firsttouch,7,False,9,0.2514,10
base,firsttouch,7,False,10,0.351,10
base,firsttouch,7,False,11,0.0997,10
base,firsttouch,7,False,12,0.0985,10
base,firsttouch,7,False,13,0.167,10
base,firsttouch,7,False,14,0.3033,10
base,firsttouch,7,False,15,0.188,10
base,firsttouch,7,False,16,0.2066,10
base,firsttouch,7,False,17,0.4117,10
base,firsttouch,7,False,18,0.3963,10
base,firsttouch,7,False,19,0.768,10
base,firsttouch,7,False,20,0.0083,4
base,firsttouch,7,False,21,0.3103,1
base,firsttouch,7,False,22,0.3062,10
base,firsttouch,7,False,23,0.3228,10
base,firsttouch,7,False,24,0.0562,10
base,firsttouch,7,False,25,0.0163,10
base,firsttouch,7,False,26,0.0645,10
base,firsttouch,7,False,27,0.0168,10
base,firsttouch,7,False,28,0.248,25
base,firsttouch,7,False,29,3.8187,25
base,firsttouch,7,False,30,0.049,1
base,firsttouch,7,False,31,0.1798,10
base,firsttouch,7,False,32,0.2449,10
base,firsttouch,7,False,33,1.1014,10
base,firsttouch,7,False,34,0.7827,10
base,firsttouch,7,False,35,0.8881,10
base,firsttouch,7,False,36,0.1814,10
base,firsttouch,7,False,37,0.0349,10
base,firsttouch,7,False,38,0.0117,10
base,firsttouch,7,False,39,0.0233,10
base,firsttouch,7,False,40,0.0719,10
base,firsttouch,7,False,41,0.0117,10
base,firsttouch,7,False,42,0.0163,10
base,firsttouch,7,False,43,0.0139,10
base,firsttouch,8,False,1,0.0012,1
base,firsttouch,8,False,2,0.0242,1
base,firsttouch,8,False,3,0.0147,1
base,firsttouch,8,False,4,0.0167,1
base,firsttouch,8,False,5,0.1759,1
base,firsttouch,8,False,6,0.1404,1
base,firsttouch,8,False,7,0.0264,1
base,firsttouch,8,False,8,0.0123,18
base,firsttouch,8,False,9,0.2254,10
base,firsttouch,8,False,10,0.3395,10
base,firsttouch,8,False,11,0.0785,10
base,firsttouch,8,False,12,0.0869,10
base,firsttouch,8,False,13,0.1724,10
base,firsttouch,8,False,14,0.3056,10
base,firsttouch,8,False,15,0.1936,10
base,firsttouch,8,False,16,0.1925,10
base,firsttouch,8,False,17,0.44,10
base,firsttouch,8,False,18,0.4005,10
base,firsttouch,8,False,19,0.7736,10
base,firsttouch,8,False,20,0.0073,4
base,firsttouch,8,False,21,0.314,1
base,firsttouch,8,False,22,0.304,10
base,firsttouch,8,False,23,0.3163,10
base,firsttouch,8,False,24,0.0606,10
base,firsttouch,8,False,25,0.0165,10
base,firsttouch,8,False,26,0.0621,10
base,firsttouch,8,False,27,0.0174,10
base,firsttouch,8,False,28,0.232,25
base,firsttouch,8,False,29,3.8003,25
base,firsttouch,8,False,30,0.0488,1
base,firsttouch,8,False,31,0.1821,10
base,firsttouch,8,False,32,0.2473,10
base,firsttouch,8,False,33,1.1199,10
base,firsttouch,8,False,34,0.8033,10
base,firsttouch,8,False,35,0.8705,10
base,firsttouch,8,False,36,0.1985,10
base,firsttouch,8,False,37,0.0359,10
base,firsttouch,8,False,38,0.0112,10
base,firsttouch,8,False,39,0.0258,10
base,firsttouch,8,False,40,0.0761,10
base,firsttouch,8,False,41,0.0136,10
base,firsttouch,8,False,42,0.0142,10
base,firsttouch,8,False,43,0.0192,10
base,firsttouch,9,False,1,0.0013,1
base,firsttouch,9,False,2,0.0241,1
base,firsttouch,9,False,3,0.0148,1
base,firsttouch,9,False,4,0.0166,1
base,firsttouch,9,False,5,0.1762,1
base,firsttouch,9,False,6,0.1617,1
base,firsttouch,9,False,7,0.0268,1
base,firsttouch,9,False,8,0.0119,18
base,firsttouch,9,False,9,0.2283,10
base,firsttouch,9,False,10,0.3586,10
base,firsttouch,9,False,11,0.0994,10
base,firsttouch,9,False,12,0.082,10
base,firsttouch,9,False,13,0.1772,10
base,firsttouch,9,False,14,0.3383,10
base,firsttouch,9,False,15,0.182,10
base,firsttouch,9,False,16,0.2024,10
base,firsttouch,9,False,17,0.4241,10
base,firsttouch,9,False,18,0.3966,10
base,firsttouch,9,False,19,0.7716,10
base,firsttouch,9,False,20,0.0075,4
base,firsttouch,9,False,21,0.3084,1
base,firsttouch,9,False,22,0.3004,10
base,firsttouch,9,False,23,0.3322,10
base,firsttouch,9,False,24,0.0613,10
base,firsttouch,9,False,25,0.0161,10
base,firsttouch,9,False,26,0.0599,10
base,firsttouch,9,False,27,0.0179,10
base,firsttouch,9,False,28,0.2409,25
base,firsttouch,9,False,29,3.7803,25
base,firsttouch,9,False,30,0.0495,1
base,firsttouch,9,False,31,0.1806,10
base,firsttouch,9,False,32,0.2398,10
base,firsttouch,9,False,33,1.104,10
base,firsttouch,9,False,34,0.7812,10
base,firsttouch,9,False,35,0.8668,10
base,firsttouch,9,False,36,0.1812,10
base,firsttouch,9,False,37,0.0352,10
base,firsttouch,9,False,38,0.0177,10
base,firsttouch,9,False,39,0.0248,10
base,firsttouch,9,False,40,0.0954,10
base,firsttouch,9,False,41,0.0103,10
base,firsttouch,9,False,42,0.0128,10
base,firsttouch,9,False,43,0.0217,10
base,firsttouch,10,False,1,0.0013,1
base,firsttouch,10,False,2,0.0262,1
base,firsttouch,10,False,3,0.0149,1
base,firsttouch,10,False,4,0.0171,1
base,firsttouch,10,False,5,0.1764,1
base,firsttouch,10,False,6,0.1339,1
base,firsttouch,10,False,7,0.0268,1
base,firsttouch,10,False,8,0.0117,18
base,firsttouch,10,False,9,0.2325,10
base,firsttouch,10,False,10,0.3403,10
base,firsttouch,10,False,11,0.0821,10
base,firsttouch,10,False,12,0.0848,10
base,firsttouch,10,False,13,0.1767,10
base,firsttouch,10,False,14,0.2979,10
base,firsttouch,10,False,15,0.1828,10
base,firsttouch,10,False,16,0.1942,10
base,firsttouch,10,False,17,0.4106,10
base,firsttouch,10,False,18,0.3927,10
base,firsttouch,10,False,19,0.7526,10
base,firsttouch,10,False,20,0.0082,4
base,firsttouch,10,False,21,0.3116,1
base,firsttouch,10,False,22,0.2963,10
base,firsttouch,10,False,23,0.3261,10
base,firsttouch,10,False,24,0.0622,10
base,firsttouch,10,False,25,0.0159,10
base,firsttouch,10,False,26,0.0628,10
base,firsttouch,10,False,27,0.0188,10
base,firsttouch,10,False,28,0.2407,25
base,firsttouch,10,False,29,3.7625,25
base,firsttouch,10,False,30,0.0495,1
base,firsttouch,10,False,31,0.1848,10
base,firsttouch,10,False,32,0.289,10
base,firsttouch,10,False,33,1.1036,10
base,firsttouch,10,False,34,0.8256,10
base,firsttouch,10,False,35,0.9072,10
base,firsttouch,10,False,36,0.1899,10
base,firsttouch,10,False,37,0.0338,10
base,firsttouch,10,False,38,0.0149,10
base,firsttouch,10,False,39,0.0247,10
base,firsttouch,10,False,40,0.0726,10
base,firsttouch,10,False,41,0.0138,10
base,firsttouch,10,False,42,0.0131,10
base,firsttouch,10,False,43,0.0161,10
base,firsttouch,11,False,1,0.0018,1
base,firsttouch,11,False,2,0.0291,1
base,firsttouch,11,False,3,0.016,1
base,firsttouch,11,False,4,0.0174,1
base,firsttouch,11,False,5,0.1855,1
base,firsttouch,11,False,6,0.1454,1
base,firsttouch,11,False,7,0.0274,1
base,firsttouch,11,False,8,0.015,18
base,firsttouch,11,False,9,0.227,10
base,firsttouch,11,False,10,0.3493,10
base,firsttouch,11,False,11,0.08,10
base,firsttouch,11,False,12,0.0865,10
base,firsttouch,11,False,13,0.1794,10
base,firsttouch,11,False,14,0.3013,10
base,firsttouch,11,False,15,0.1845,10
base,firsttouch,11,False,16,0.2027,10
base,firsttouch,11,False,17,0.4188,10
base,firsttouch,11,False,18,0.3945,10
base,firsttouch,11,False,19,0.7561,10
base,firsttouch,11,False,20,0.0093,4
base,firsttouch,11,False,21,0.3032,1
base,firsttouch,11,False,22,0.2991,10
base,firsttouch,11,False,23,0.3243,10
base,firsttouch,11,False,24,0.0569,10
base,firsttouch,11,False,25,0.0186,10
base,firsttouch,11,False,26,0.0606,10
base,firsttouch,11,False,27,0.0174,10
base,firsttouch,11,False,28,0.2451,25
base,firsttouch,11,False,29,3.7616,25
base,firsttouch,11,False,30,0.0486,1
base,firsttouch,11,False,31,0.1823,10
base,firsttouch,11,False,32,0.2391,10
base,firsttouch,11,False,33,1.1072,10
base,firsttouch,11,False,34,0.7755,10
base,firsttouch,11,False,35,0.8756,10
base,firsttouch,11,False,36,0.186,10
base,firsttouch,11,False,37,0.047,10
base,firsttouch,11,False,38,0.0111,10
base,firsttouch,11,False,39,0.018,10
base,firsttouch,11,False,40,0.0663,10
base,firsttouch,11,False,41,0.0119,10
base,firsttouch,11,False,42,0.0182,10
base,firsttouch,11,False,43,0.0249,10
base,firsttouch,12,False,1,0.0013,1
base,firsttouch,12,False,2,0.0257,1
base,firsttouch,12,False,3,0.0149,1
base,firsttouch,12,False,4,0.0168,1
base,firsttouch,12,False,5,0.1866,1
base,firsttouch,12,False,6,0.1367,1
base,firsttouch,12,False,7,0.0271,1
base,firsttouch,12,False,8,0.0126,18
base,firsttouch,12,False,9,0.2289,10
base,firsttouch,12,False,10,0.3393,10
base,firsttouch,12,False,11,0.0816,10
base,firsttouch,12,False,12,0.0897,10
base,firsttouch,12,False,13,0.1835,10
base,firsttouch,12,False,14,0.309,10
base,firsttouch,12,False,15,0.1892,10
base,firsttouch,12,False,16,0.1953,10
base,firsttouch,12,False,17,0.4226,10
base,firsttouch,12,False,18,0.3898,10
base,firsttouch,12,False,19,0.7612,10
base,firsttouch,12,False,20,0.0085,4
base,firsttouch,12,False,21,0.3014,1
base,firsttouch,12,False,22,0.3164,10
base,firsttouch,12,False,23,0.3319,10
base,firsttouch,12,False,24,0.0578,10
