bench,compression,tag,phase,query,mean_s,std_s,n
clickbench,uncompressed,repl,warm,40,0.0578,0.01,19
clickbench,uncompressed,repl,cold,41,0.0477,0.0,1
clickbench,uncompressed,repl,warm,41,0.0139,0.0044,19
clickbench,uncompressed,repl,cold,42,0.0209,0.0,1
clickbench,uncompressed,repl,warm,42,0.0128,0.0029,19
clickbench,uncompressed,repl,cold,43,0.0184,0.0,1
clickbench,uncompressed,repl,warm,43,0.0168,0.0056,19
clickbench,compressed,firsttouch,cold,1,0.0482,0.0,1
clickbench,compressed,firsttouch,warm,1,0.0013,0.0001,19
clickbench,compressed,firsttouch,cold,2,0.3111,0.0,1
clickbench,compressed,firsttouch,warm,2,0.0246,0.0028,19
clickbench,compressed,firsttouch,cold,3,0.5058,0.0,1
clickbench,compressed,firsttouch,warm,3,0.015,0.0003,19
clickbench,compressed,firsttouch,cold,4,1.0382,0.0,1
clickbench,compressed,firsttouch,warm,4,0.017,0.0007,19
clickbench,compressed,firsttouch,cold,5,0.2062,0.0,1
clickbench,compressed,firsttouch,warm,5,0.1783,0.0047,19
clickbench,compressed,firsttouch,cold,6,1.7767,0.0,1
clickbench,compressed,firsttouch,warm,6,0.1432,0.007,19
clickbench,compressed,firsttouch,cold,7,0.0156,0.0,1
clickbench,compressed,firsttouch,warm,7,0.0293,0.0025,19
clickbench,compressed,firsttouch,cold,8,0.018,0.0,1
clickbench,compressed,firsttouch,warm,8,0.0134,0.0021,19
clickbench,compressed,firsttouch,cold,9,0.6734,0.0,1
clickbench,compressed,firsttouch,warm,9,0.23,0.0073,19
clickbench,compressed,firsttouch,cold,10,0.3354,0.0,1
clickbench,compressed,firsttouch,warm,10,0.3507,0.0084,19
clickbench,compressed,firsttouch,cold,11,0.3916,0.0,1
clickbench,compressed,firsttouch,warm,11,0.085,0.0094,19
clickbench,compressed,firsttouch,cold,12,0.2494,0.0,1
clickbench,compressed,firsttouch,warm,12,0.085,0.0074,19
clickbench,compressed,firsttouch,cold,13,0.1807,0.0,1
clickbench,compressed,firsttouch,warm,13,0.1747,0.0069,19
clickbench,compressed,firsttouch,cold,14,0.3116,0.0,1
clickbench,compressed,firsttouch,warm,14,0.3129,0.0122,19
clickbench,compressed,firsttouch,cold,15,0.3867,0.0,1
clickbench,compressed,firsttouch,warm,15,0.1847,0.005,19
clickbench,compressed,firsttouch,cold,16,0.2117,0.0,1
clickbench,compressed,firsttouch,warm,16,0.1985,0.0056,19
clickbench,compressed,firsttouch,cold,17,0.4391,0.0,1
clickbench,compressed,firsttouch,warm,17,0.4173,0.0087,19
clickbench,compressed,firsttouch,cold,18,0.3881,0.0,1
clickbench,compressed,firsttouch,warm,18,0.3956,0.0065,19
clickbench,compressed,firsttouch,cold,19,2.1569,0.0,1
clickbench,compressed,firsttouch,warm,19,0.7638,0.0099,19
clickbench,compressed,firsttouch,cold,20,0.0099,0.0,1
clickbench,compressed,firsttouch,warm,20,0.0083,0.0013,19
clickbench,compressed,firsttouch,cold,21,10.0439,0.0,1
clickbench,compressed,firsttouch,warm,21,0.3105,0.006,19
clickbench,compressed,firsttouch,cold,22,0.3144,0.0,1
clickbench,compressed,firsttouch,warm,22,0.3047,0.0063,19
clickbench,compressed,firsttouch,cold,23,4.9743,0.0,1
clickbench,compressed,firsttouch,warm,23,0.3232,0.0057,19
clickbench,compressed,firsttouch,cold,24,0.3612,0.0,1
clickbench,compressed,firsttouch,warm,24,0.0592,0.0041,19
clickbench,compressed,firsttouch,cold,25,0.0165,0.0,1
clickbench,compressed,firsttouch,warm,25,0.0171,0.0015,19
clickbench,compressed,firsttouch,cold,26,0.0599,0.0,1
clickbench,compressed,firsttouch,warm,26,0.0616,0.0013,19
clickbench,compressed,firsttouch,cold,27,0.0165,0.0,1
clickbench,compressed,firsttouch,warm,27,0.0182,0.0019,19
clickbench,compressed,firsttouch,cold,28,0.2355,0.0,1
clickbench,compressed,firsttouch,warm,28,0.2436,0.006,19
clickbench,compressed,firsttouch,cold,29,5.9667,0.0,1
clickbench,compressed,firsttouch,warm,29,3.7781,0.0232,19
clickbench,compressed,firsttouch,cold,30,0.0494,0.0,1
clickbench,compressed,firsttouch,warm,30,0.0501,0.0046,19
clickbench,compressed,firsttouch,cold,31,0.4649,0.0,1
clickbench,compressed,firsttouch,warm,31,0.1829,0.0014,19
clickbench,compressed,firsttouch,cold,32,1.8106,0.0,1
clickbench,compressed,firsttouch,warm,32,0.2471,0.0145,19
clickbench,compressed,firsttouch,cold,33,1.1235,0.0,1
clickbench,compressed,firsttouch,warm,33,1.1187,0.0151,19
clickbench,compressed,firsttouch,cold,34,0.8062,0.0,1
clickbench,compressed,firsttouch,warm,34,0.7885,0.0162,19
clickbench,compressed,firsttouch,cold,35,0.8899,0.0,1
clickbench,compressed,firsttouch,warm,35,0.8815,0.0122,19
clickbench,compressed,firsttouch,cold,36,0.1886,0.0,1
clickbench,compressed,firsttouch,warm,36,0.1866,0.0066,19
clickbench,compressed,firsttouch,cold,37,0.0338,0.0,1
clickbench,compressed,firsttouch,warm,37,0.0413,0.0062,19
clickbench,compressed,firsttouch,cold,38,0.029,0.0,1
clickbench,compressed,firsttouch,warm,38,0.0155,0.0026,19
clickbench,compressed,firsttouch,cold,39,0.0319,0.0,1
clickbench,compressed,firsttouch,warm,39,0.0249,0.0054,19
clickbench,compressed,firsttouch,cold,40,0.0697,0.0,1
clickbench,compressed,firsttouch,warm,40,0.0775,0.0114,19
clickbench,compressed,firsttouch,cold,41,0.0521,0.0,1
clickbench,compressed,firsttouch,warm,41,0.0135,0.0032,19
clickbench,compressed,firsttouch,cold,42,0.0145,0.0,1
clickbench,compressed,firsttouch,warm,42,0.0165,0.0037,19
clickbench,compressed,firsttouch,cold,43,0.0206,0.0,1
clickbench,compressed,firsttouch,warm,43,0.018,0.0042,19
clickbench,compressed,imbalanced,cold,1,0.0495,0.0,1
clickbench,compressed,imbalanced,warm,1,0.0013,0.0001,19
clickbench,compressed,imbalanced,cold,2,0.3094,0.0,1
clickbench,compressed,imbalanced,warm,2,0.0265,0.0041,19
clickbench,compressed,imbalanced,cold,3,0.5041,0.0,1
clickbench,compressed,imbalanced,warm,3,0.015,0.0002,19
clickbench,compressed,imbalanced,cold,4,1.0431,0.0,1
clickbench,compressed,imbalanced,warm,4,0.0167,0.0001,19
clickbench,compressed,imbalanced,cold,5,0.2426,0.0,1
clickbench,compressed,imbalanced,warm,5,0.2107,0.0041,19
clickbench,compressed,imbalanced,cold,6,1.7937,0.0,1
clickbench,compressed,imbalanced,warm,6,0.1925,0.0054,19
clickbench,compressed,imbalanced,cold,7,0.0157,0.0,1
clickbench,compressed,imbalanced,warm,7,0.0266,0.0038,19
clickbench,compressed,imbalanced,cold,8,0.0179,0.0,1
clickbench,compressed,imbalanced,warm,8,0.0141,0.0029,19
clickbench,compressed,imbalanced,cold,9,0.7025,0.0,1
clickbench,compressed,imbalanced,warm,9,0.2666,0.0076,19
clickbench,compressed,imbalanced,cold,10,0.384,0.0,1
clickbench,compressed,imbalanced,warm,10,0.3928,0.0101,19
clickbench,compressed,imbalanced,cold,11,0.3992,0.0,1
clickbench,compressed,imbalanced,warm,11,0.0922,0.0097,19
clickbench,compressed,imbalanced,cold,12,0.2536,0.0,1
clickbench,compressed,imbalanced,warm,12,0.0878,0.0062,19
clickbench,compressed,imbalanced,cold,13,0.2214,0.0,1
clickbench,compressed,imbalanced,warm,13,0.2228,0.0075,19
clickbench,compressed,imbalanced,cold,14,0.4288,0.0,1
clickbench,compressed,imbalanced,warm,14,0.4298,0.0096,19
clickbench,compressed,imbalanced,cold,15,0.4085,0.0,1
clickbench,compressed,imbalanced,warm,15,0.2431,0.0027,19
clickbench,compressed,imbalanced,cold,16,0.2411,0.0,1
clickbench,compressed,imbalanced,warm,16,0.2386,0.0042,19
clickbench,compressed,imbalanced,cold,17,0.516,0.0,1
clickbench,compressed,imbalanced,warm,17,0.5143,0.0068,19
clickbench,compressed,imbalanced,cold,18,0.4953,0.0,1
clickbench,compressed,imbalanced,warm,18,0.486,0.0079,19
clickbench,compressed,imbalanced,cold,19,2.45,0.0,1
clickbench,compressed,imbalanced,warm,19,1.0296,0.0139,19
clickbench,compressed,imbalanced,cold,20,0.0113,0.0,1
clickbench,compressed,imbalanced,warm,20,0.0087,0.0022,19
clickbench,compressed,imbalanced,cold,21,10.1206,0.0,1
clickbench,compressed,imbalanced,warm,21,0.3124,0.0081,19
clickbench,compressed,imbalanced,cold,22,0.3327,0.0,1
clickbench,compressed,imbalanced,warm,22,0.3127,0.0068,19
clickbench,compressed,imbalanced,cold,23,4.9903,0.0,1
clickbench,compressed,imbalanced,warm,23,0.3541,0.0093,19
clickbench,compressed,imbalanced,cold,24,0.3638,0.0,1
clickbench,compressed,imbalanced,warm,24,0.0686,0.0057,19
clickbench,compressed,imbalanced,cold,25,0.0155,0.0,1
clickbench,compressed,imbalanced,warm,25,0.0179,0.0031,19
clickbench,compressed,imbalanced,cold,26,0.0614,0.0,1
clickbench,compressed,imbalanced,warm,26,0.0621,0.002,19
clickbench,compressed,imbalanced,cold,27,0.0183,0.0,1
clickbench,compressed,imbalanced,warm,27,0.0188,0.0025,19
clickbench,compressed,imbalanced,cold,28,0.249,0.0,1
clickbench,compressed,imbalanced,warm,28,0.2499,0.0045,19
clickbench,compressed,imbalanced,cold,29,6.0104,0.0,1
clickbench,compressed,imbalanced,warm,29,3.822,0.0234,19
clickbench,compressed,imbalanced,cold,30,0.0493,0.0,1
clickbench,compressed,imbalanced,warm,30,0.049,0.0016,19
clickbench,compressed,imbalanced,cold,31,0.4868,0.0,1
clickbench,compressed,imbalanced,warm,31,0.2018,0.0023,19
clickbench,compressed,imbalanced,cold,32,1.8331,0.0,1
clickbench,compressed,imbalanced,warm,32,0.2906,0.0061,19
clickbench,compressed,imbalanced,cold,33,1.4223,0.0,1
clickbench,compressed,imbalanced,warm,33,1.4057,0.0202,19
clickbench,compressed,imbalanced,cold,34,1.1963,0.0,1
clickbench,compressed,imbalanced,warm,34,1.2258,0.0107,19
clickbench,compressed,imbalanced,cold,35,1.3278,0.0,1
clickbench,compressed,imbalanced,warm,35,1.3249,0.0118,19
clickbench,compressed,imbalanced,cold,36,0.2149,0.0,1
clickbench,compressed,imbalanced,warm,36,0.211,0.0047,19
clickbench,compressed,imbalanced,cold,37,0.0447,0.0,1
clickbench,compressed,imbalanced,warm,37,0.0431,0.0071,19
clickbench,compressed,imbalanced,cold,38,0.0154,0.0,1
clickbench,compressed,imbalanced,warm,38,0.0165,0.0034,19
clickbench,compressed,imbalanced,cold,39,0.0349,0.0,1
clickbench,compressed,imbalanced,warm,39,0.0262,0.0077,19
clickbench,compressed,imbalanced,cold,40,0.0732,0.0,1
clickbench,compressed,imbalanced,warm,40,0.0825,0.0116,19
clickbench,compressed,imbalanced,cold,41,0.0517,0.0,1
clickbench,compressed,imbalanced,warm,41,0.0135,0.0037,19
clickbench,compressed,imbalanced,cold,42,0.02,0.0,1
clickbench,compressed,imbalanced,warm,42,0.0158,0.0032,19
clickbench,compressed,imbalanced,cold,43,0.0117,0.0,1
clickbench,compressed,imbalanced,warm,43,0.0185,0.0037,19
clickbench,compressed,interleaved,cold,1,0.0493,0.0,1
clickbench,compressed,interleaved,warm,1,0.0013,0.0001,19
clickbench,compressed,interleaved,cold,2,0.3119,0.0,1
clickbench,compressed,interleaved,warm,2,0.0309,0.0107,19
clickbench,compressed,interleaved,cold,3,0.502,0.0,1
clickbench,compressed,interleaved,warm,3,0.0153,0.0007,19
clickbench,compressed,interleaved,cold,4,1.0372,0.0,1
clickbench,compressed,interleaved,warm,4,0.0168,0.0002,19
clickbench,compressed,interleaved,cold,5,0.2353,0.0,1
clickbench,compressed,interleaved,warm,5,0.1963,0.0099,19
clickbench,compressed,interleaved,cold,6,1.7947,0.0,1
clickbench,compressed,interleaved,warm,6,0.215,0.0223,19
clickbench,compressed,interleaved,cold,7,0.0166,0.0,1
clickbench,compressed,interleaved,warm,7,0.0291,0.0002,19
clickbench,compressed,interleaved,cold,8,0.0182,0.0,1
clickbench,compressed,interleaved,warm,8,0.0144,0.0044,19
clickbench,compressed,interleaved,cold,9,0.6821,0.0,1
clickbench,compressed,interleaved,warm,9,0.2574,0.0143,19
clickbench,compressed,interleaved,cold,10,0.363,0.0,1
clickbench,compressed,interleaved,warm,10,0.3889,0.0181,19
clickbench,compressed,interleaved,cold,11,0.3957,0.0,1
clickbench,compressed,interleaved,warm,11,0.1167,0.0205,19
clickbench,compressed,interleaved,cold,12,0.2505,0.0,1
clickbench,compressed,interleaved,warm,12,0.1104,0.0214,19
clickbench,compressed,interleaved,cold,13,0.1961,0.0,1
clickbench,compressed,interleaved,warm,13,0.1991,0.0081,19
clickbench,compressed,interleaved,cold,14,0.3413,0.0,1
clickbench,compressed,interleaved,warm,14,0.3417,0.0069,19
clickbench,compressed,interleaved,cold,15,0.3981,0.0,1
clickbench,compressed,interleaved,warm,15,0.201,0.007,19
clickbench,compressed,interleaved,cold,16,0.2102,0.0,1
clickbench,compressed,interleaved,warm,16,0.2087,0.0055,19
clickbench,compressed,interleaved,cold,17,0.4737,0.0,1
clickbench,compressed,interleaved,warm,17,0.4701,0.0098,19
clickbench,compressed,interleaved,cold,18,0.4289,0.0,1
clickbench,compressed,interleaved,warm,18,0.4333,0.0121,19
clickbench,compressed,interleaved,cold,19,2.229,0.0,1
clickbench,compressed,interleaved,warm,19,0.8696,0.0107,19
clickbench,compressed,interleaved,cold,20,0.0155,0.0,1
clickbench,compressed,interleaved,warm,20,0.0115,0.0049,19
clickbench,compressed,interleaved,cold,21,10.1422,0.0,1
clickbench,compressed,interleaved,warm,21,0.3119,0.0075,19
clickbench,compressed,interleaved,cold,22,0.3857,0.0,1
clickbench,compressed,interleaved,warm,22,0.3293,0.0174,19
clickbench,compressed,interleaved,cold,23,4.9912,0.0,1
clickbench,compressed,interleaved,warm,23,0.4586,0.0373,19
clickbench,compressed,interleaved,cold,24,0.3692,0.0,1
clickbench,compressed,interleaved,warm,24,0.0833,0.0097,19
clickbench,compressed,interleaved,cold,25,0.0232,0.0,1
clickbench,compressed,interleaved,warm,25,0.0185,0.0028,19
clickbench,compressed,interleaved,cold,26,0.0596,0.0,1
clickbench,compressed,interleaved,warm,26,0.0626,0.0025,19
clickbench,compressed,interleaved,cold,27,0.0174,0.0,1
clickbench,compressed,interleaved,warm,27,0.0184,0.002,19
clickbench,compressed,interleaved,cold,28,0.2422,0.0,1
clickbench,compressed,interleaved,warm,28,0.2447,0.0047,19
clickbench,compressed,interleaved,cold,29,6.078,0.0,1
clickbench,compressed,interleaved,warm,29,3.8293,0.0204,19
clickbench,compressed,interleaved,cold,30,0.0497,0.0,1
clickbench,compressed,interleaved,warm,30,0.0502,0.0014,19
clickbench,compressed,interleaved,cold,31,0.4756,0.0,1
clickbench,compressed,interleaved,warm,31,0.1918,0.0043,19
clickbench,compressed,interleaved,cold,32,1.8167,0.0,1
clickbench,compressed,interleaved,warm,32,0.2608,0.0052,19
clickbench,compressed,interleaved,cold,33,1.343,0.0,1
clickbench,compressed,interleaved,warm,33,1.2912,0.0185,19
clickbench,compressed,interleaved,cold,34,1.0837,0.0,1
clickbench,compressed,interleaved,warm,34,1.0957,0.0351,19
clickbench,compressed,interleaved,cold,35,1.1169,0.0,1
clickbench,compressed,interleaved,warm,35,1.0702,0.0369,19
clickbench,compressed,interleaved,cold,36,0.1981,0.0,1
clickbench,compressed,interleaved,warm,36,0.1999,0.0115,19
clickbench,compressed,interleaved,cold,37,0.0495,0.0,1
clickbench,compressed,interleaved,warm,37,0.046,0.0068,19
clickbench,compressed,interleaved,cold,38,0.0146,0.0,1
clickbench,compressed,interleaved,warm,38,0.0167,0.0027,19
clickbench,compressed,interleaved,cold,39,0.0226,0.0,1
clickbench,compressed,interleaved,warm,39,0.025,0.0051,19
clickbench,compressed,interleaved,cold,40,0.0702,0.0,1
clickbench,compressed,interleaved,warm,40,0.0876,0.0218,19
clickbench,compressed,interleaved,cold,41,0.0512,0.0,1
clickbench,compressed,interleaved,warm,41,0.0156,0.0058,19
clickbench,compressed,interleaved,cold,42,0.0242,0.0,1
clickbench,compressed,interleaved,warm,42,0.0188,0.0054,19
clickbench,compressed,interleaved,cold,43,0.0122,0.0,1
clickbench,compressed,interleaved,warm,43,0.0191,0.0039,19
clickbench,compressed,numa-balancing,cold,1,0.0486,0.0,1
clickbench,compressed,numa-balancing,warm,1,0.0013,0.0001,19
clickbench,compressed,numa-balancing,cold,2,0.3119,0.0,1
clickbench,compressed,numa-balancing,warm,2,0.0237,0.0026,19
clickbench,compressed,numa-balancing,cold,3,0.503,0.0,1
clickbench,compressed,numa-balancing,warm,3,0.015,0.0003,19
clickbench,compressed,numa-balancing,cold,4,1.0447,0.0,1
clickbench,compressed,numa-balancing,warm,4,0.0174,0.0023,19
clickbench,compressed,numa-balancing,cold,5,0.2109,0.0,1
clickbench,compressed,numa-balancing,warm,5,0.177,0.006,19
clickbench,compressed,numa-balancing,cold,6,1.8642,0.0,1
clickbench,compressed,numa-balancing,warm,6,0.1418,0.0079,19
clickbench,compressed,numa-balancing,cold,7,0.0158,0.0,1
clickbench,compressed,numa-balancing,warm,7,0.0278,0.0014,19
clickbench,compressed,numa-balancing,cold,8,0.0187,0.0,1
clickbench,compressed,numa-balancing,warm,8,0.0133,0.0026,19
clickbench,compressed,numa-balancing,cold,9,0.6816,0.0,1
clickbench,compressed,numa-balancing,warm,9,0.2302,0.0077,19
clickbench,compressed,numa-balancing,cold,10,0.3573,0.0,1
clickbench,compressed,numa-balancing,warm,10,0.3525,0.0084,19
clickbench,compressed,numa-balancing,cold,11,0.3938,0.0,1
clickbench,compressed,numa-balancing,warm,11,0.0818,0.0054,19
clickbench,compressed,numa-balancing,cold,12,0.2503,0.0,1
clickbench,compressed,numa-balancing,warm,12,0.0856,0.0081,19
clickbench,compressed,numa-balancing,cold,13,0.1886,0.0,1
clickbench,compressed,numa-balancing,warm,13,0.1697,0.0053,19
clickbench,compressed,numa-balancing,cold,14,0.3048,0.0,1
clickbench,compressed,numa-balancing,warm,14,0.3086,0.0117,19
clickbench,compressed,numa-balancing,cold,15,0.3771,0.0,1
clickbench,compressed,numa-balancing,warm,15,0.1848,0.005,19
clickbench,compressed,numa-balancing,cold,16,0.2016,0.0,1
clickbench,compressed,numa-balancing,warm,16,0.2005,0.0072,19
clickbench,compressed,numa-balancing,cold,17,0.4948,0.0,1
clickbench,compressed,numa-balancing,warm,17,0.4262,0.0133,19
clickbench,compressed,numa-balancing,cold,18,0.4147,0.0,1
clickbench,compressed,numa-balancing,warm,18,0.3946,0.0112,19
clickbench,compressed,numa-balancing,cold,19,2.1904,0.0,1
clickbench,compressed,numa-balancing,warm,19,0.7581,0.0109,19
clickbench,compressed,numa-balancing,cold,20,0.0118,0.0,1
clickbench,compressed,numa-balancing,warm,20,0.0082,0.0013,19
clickbench,compressed,numa-balancing,cold,21,10.0529,0.0,1
clickbench,compressed,numa-balancing,warm,21,0.3069,0.006,19
clickbench,compressed,numa-balancing,cold,22,0.3305,0.0,1
clickbench,compressed,numa-balancing,warm,22,0.3045,0.0062,19
clickbench,compressed,numa-balancing,cold,23,5.0803,0.0,1
clickbench,compressed,numa-balancing,warm,23,0.3244,0.0055,19
clickbench,compressed,numa-balancing,cold,24,0.3589,0.0,1
clickbench,compressed,numa-balancing,warm,24,0.0596,0.0034,19
clickbench,compressed,numa-balancing,cold,25,0.0165,0.0,1
clickbench,compressed,numa-balancing,warm,25,0.0168,0.0013,19
clickbench,compressed,numa-balancing,cold,26,0.06,0.0,1
clickbench,compressed,numa-balancing,warm,26,0.0627,0.0053,19
clickbench,compressed,numa-balancing,cold,27,0.0185,0.0,1
clickbench,compressed,numa-balancing,warm,27,0.0177,0.0011,19
clickbench,compressed,numa-balancing,cold,28,0.238,0.0,1
clickbench,compressed,numa-balancing,warm,28,0.2421,0.0053,19
clickbench,compressed,numa-balancing,cold,29,5.9198,0.0,1
clickbench,compressed,numa-balancing,warm,29,3.7796,0.0233,19
clickbench,compressed,numa-balancing,cold,30,0.0575,0.0,1
clickbench,compressed,numa-balancing,warm,30,0.0489,0.0007,19
clickbench,compressed,numa-balancing,cold,31,0.5673,0.0,1
clickbench,compressed,numa-balancing,warm,31,0.1828,0.0027,19
clickbench,compressed,numa-balancing,cold,32,1.8675,0.0,1
clickbench,compressed,numa-balancing,warm,32,0.2432,0.0077,19
clickbench,compressed,numa-balancing,cold,33,1.0943,0.0,1
clickbench,compressed,numa-balancing,warm,33,1.0575,0.0263,19
clickbench,compressed,numa-balancing,cold,34,0.7837,0.0,1
clickbench,compressed,numa-balancing,warm,34,0.7839,0.0221,19
clickbench,compressed,numa-balancing,cold,35,0.8759,0.0,1
clickbench,compressed,numa-balancing,warm,35,0.8832,0.0256,19
clickbench,compressed,numa-balancing,cold,36,0.1814,0.0,1
clickbench,compressed,numa-balancing,warm,36,0.1897,0.0099,19
clickbench,compressed,numa-balancing,cold,37,0.0373,0.0,1
clickbench,compressed,numa-balancing,warm,37,0.0434,0.0075,19
clickbench,compressed,numa-balancing,cold,38,0.0128,0.0,1
clickbench,compressed,numa-balancing,warm,38,0.0158,0.0033,19
clickbench,compressed,numa-balancing,cold,39,0.0321,0.0,1
clickbench,compressed,numa-balancing,warm,39,0.0239,0.0037,19
clickbench,compressed,numa-balancing,cold,40,0.1011,0.0,1
clickbench,compressed,numa-balancing,warm,40,0.0832,0.0136,19
clickbench,compressed,numa-balancing,cold,41,0.0503,0.0,1
clickbench,compressed,numa-balancing,warm,41,0.0151,0.0027,19
clickbench,compressed,numa-balancing,cold,42,0.0143,0.0,1
clickbench,compressed,numa-balancing,warm,42,0.0138,0.0021,19
clickbench,compressed,numa-balancing,cold,43,0.0184,0.0,1
clickbench,compressed,numa-balancing,warm,43,0.0173,0.0022,19
clickbench,compressed,repl,cold,1,0.0416,0.0,1
clickbench,compressed,repl,warm,1,0.0011,0.0001,19
clickbench,compressed,repl,cold,2,0.3105,0.0,1
clickbench,compressed,repl,warm,2,0.0228,0.0028,19
clickbench,compressed,repl,cold,3,0.5011,0.0,1
clickbench,compressed,repl,warm,3,0.0119,0.0005,19
clickbench,compressed,repl,cold,4,1.0391,0.0,1
clickbench,compressed,repl,warm,4,0.0132,0.0003,19
clickbench,compressed,repl,cold,5,0.2052,0.0,1
clickbench,compressed,repl,warm,5,0.1505,0.0061,19
clickbench,compressed,repl,cold,6,1.7773,0.0,1
clickbench,compressed,repl,warm,6,0.1279,0.0057,19
clickbench,compressed,repl,cold,7,0.0214,0.0,1
clickbench,compressed,repl,warm,7,0.0276,0.0007,19
clickbench,compressed,repl,cold,8,0.0162,0.0,1
clickbench,compressed,repl,warm,8,0.0113,0.0016,19
clickbench,compressed,repl,cold,9,0.6539,0.0,1
clickbench,compressed,repl,warm,9,0.196,0.0093,19
clickbench,compressed,repl,cold,10,0.3328,0.0,1
clickbench,compressed,repl,warm,10,0.2959,0.0102,19
clickbench,compressed,repl,cold,11,0.39,0.0,1
clickbench,compressed,repl,warm,11,0.0681,0.0075,19
clickbench,compressed,repl,cold,12,0.2525,0.0,1
clickbench,compressed,repl,warm,12,0.0738,0.0078,19
clickbench,compressed,repl,cold,13,0.1984,0.0,1
clickbench,compressed,repl,warm,13,0.149,0.0051,19
clickbench,compressed,repl,cold,14,0.2975,0.0,1
clickbench,compressed,repl,warm,14,0.2748,0.0075,19
clickbench,compressed,repl,cold,15,0.3791,0.0,1
clickbench,compressed,repl,warm,15,0.1639,0.0046,19
clickbench,compressed,repl,cold,16,0.1993,0.0,1
clickbench,compressed,repl,warm,16,0.1682,0.003,19
clickbench,compressed,repl,cold,17,0.3811,0.0,1
clickbench,compressed,repl,warm,17,0.3571,0.0098,19
clickbench,compressed,repl,cold,18,0.3575,0.0,1
clickbench,compressed,repl,warm,18,0.3477,0.0071,19
clickbench,compressed,repl,cold,19,2.1496,0.0,1
clickbench,compressed,repl,warm,19,0.6807,0.0143,19
clickbench,compressed,repl,cold,20,0.0065,0.0,1
clickbench,compressed,repl,warm,20,0.0063,0.0011,19
clickbench,compressed,repl,cold,21,10.0992,0.0,1
clickbench,compressed,repl,warm,21,0.2549,0.0071,19
clickbench,compressed,repl,cold,22,0.4868,0.0,1
clickbench,compressed,repl,warm,22,0.255,0.008,19
clickbench,compressed,repl,cold,23,4.9891,0.0,1
clickbench,compressed,repl,warm,23,0.2976,0.0363,19
clickbench,compressed,repl,cold,24,0.3663,0.0,1
clickbench,compressed,repl,warm,24,0.0531,0.0039,19
clickbench,compressed,repl,cold,25,0.017,0.0,1
clickbench,compressed,repl,warm,25,0.0138,0.0009,19
clickbench,compressed,repl,cold,26,0.0491,0.0,1
clickbench,compressed,repl,warm,26,0.0508,0.0019,19
clickbench,compressed,repl,cold,27,0.0173,0.0,1
clickbench,compressed,repl,warm,27,0.0153,0.0013,19
clickbench,compressed,repl,cold,28,0.3169,0.0,1
clickbench,compressed,repl,warm,28,0.1972,0.0083,19
clickbench,compressed,repl,cold,29,5.8116,0.0,1
clickbench,compressed,repl,warm,29,3.0521,0.0723,19
clickbench,compressed,repl,cold,30,0.0454,0.0,1
clickbench,compressed,repl,warm,30,0.0403,0.0059,19
clickbench,compressed,repl,cold,31,0.4555,0.0,1
clickbench,compressed,repl,warm,31,0.1533,0.0022,19
clickbench,compressed,repl,cold,32,1.7851,0.0,1
clickbench,compressed,repl,warm,32,0.2118,0.0155,19
clickbench,compressed,repl,cold,33,0.9586,0.0,1
clickbench,compressed,repl,warm,33,0.9025,0.0122,19
clickbench,compressed,repl,cold,34,0.7998,0.0,1
clickbench,compressed,repl,warm,34,0.7298,0.0119,19
clickbench,compressed,repl,cold,35,0.9175,0.0,1
clickbench,compressed,repl,warm,35,0.8197,0.0131,19
clickbench,compressed,repl,cold,36,0.1587,0.0,1
clickbench,compressed,repl,warm,36,0.1569,0.0034,19
clickbench,compressed,repl,cold,37,0.0375,0.0,1
clickbench,compressed,repl,warm,37,0.0384,0.0048,19
clickbench,compressed,repl,cold,38,0.0139,0.0,1
clickbench,compressed,repl,warm,38,0.0131,0.003,19
clickbench,compressed,repl,cold,39,0.0246,0.0,1
clickbench,compressed,repl,warm,39,0.0201,0.0038,19
clickbench,compressed,repl,cold,40,0.0801,0.0,1
clickbench,compressed,repl,warm,40,0.0731,0.0105,19
clickbench,compressed,repl,cold,41,0.0485,0.0,1
clickbench,compressed,repl,warm,41,0.0129,0.0033,19
clickbench,compressed,repl,cold,42,0.0135,0.0,1
clickbench,compressed,repl,warm,42,0.0147,0.0038,19
clickbench,compressed,repl,cold,43,0.0222,0.0,1
clickbench,compressed,repl,warm,43,0.0148,0.0024,19
tpch-sf10,uncompressed,firsttouch,cold,1,9.4213,0.0,1
tpch-sf10,uncompressed,firsttouch,warm,1,0.0924,0.0009,19
tpch-sf10,uncompressed,firsttouch,cold,2,0.999,0.0,1
tpch-sf10,uncompressed,firsttouch,warm,2,0.042,0.0029,19
tpch-sf10,uncompressed,firsttouch,cold,3,2.452,0.0,1
tpch-sf10,uncompressed,firsttouch,warm,3,0.1018,0.0072,19
tpch-sf10,uncompressed,firsttouch,cold,4,1.8407,0.0,1
tpch-sf10,uncompressed,firsttouch,warm,4,0.1132,0.0128,19
tpch-sf10,uncompressed,firsttouch,cold,5,1.4436,0.0,1
tpch-sf10,uncompressed,firsttouch,warm,5,0.1103,0.0091,19
tpch-sf10,uncompressed,firsttouch,cold,6,0.0202,0.0,1
tpch-sf10,uncompressed,firsttouch,warm,6,0.0213,0.0038,19
tpch-sf10,uncompressed,firsttouch,cold,7,0.0942,0.0,1
tpch-sf10,uncompressed,firsttouch,warm,7,0.0948,0.0053,19
