variant,tag,pass,warmup,query,elapsed_s,rows
-raw,repl,4,False,31,0.1372,10
-raw,repl,4,False,32,0.1977,10
-raw,repl,4,False,33,0.9119,10
-raw,repl,4,False,34,0.6486,10
-raw,repl,4,False,35,0.7034,10
-raw,repl,4,False,36,0.1675,10
-raw,repl,4,False,37,0.0295,10
-raw,repl,4,False,38,0.0251,10
-raw,repl,4,False,39,0.0077,10
-raw,repl,4,False,40,0.0695,10
-raw,repl,4,False,41,0.0213,10
-raw,repl,4,False,42,0.0104,10
-raw,repl,4,False,43,0.0122,10
-raw,repl,5,False,1,0.0011,1
-raw,repl,5,False,2,0.035,1
-raw,repl,5,False,3,0.0068,1
-raw,repl,5,False,4,0.0094,1
-raw,repl,5,False,5,0.1413,1
-raw,repl,5,False,6,0.1742,1
-raw,repl,5,False,7,0.0405,1
-raw,repl,5,False,8,0.0104,18
-raw,repl,5,False,9,0.1796,10
-raw,repl,5,False,10,0.2723,10
-raw,repl,5,False,11,0.0693,10
-raw,repl,5,False,12,0.0768,10
-raw,repl,5,False,13,0.1357,10
-raw,repl,5,False,14,0.268,10
-raw,repl,5,False,15,0.1538,10
-raw,repl,5,False,16,0.1623,10
-raw,repl,5,False,17,0.3342,10
-raw,repl,5,False,18,0.3565,10
-raw,repl,5,False,19,0.6696,10
-raw,repl,5,False,20,0.0052,4
-raw,repl,5,False,21,0.1607,1
-raw,repl,5,False,22,0.076,10
-raw,repl,5,False,23,0.3002,10
-raw,repl,5,False,24,0.0542,10
-raw,repl,5,False,25,0.0087,10
-raw,repl,5,False,26,0.0427,10
-raw,repl,5,False,27,0.0085,10
-raw,repl,5,False,28,0.0725,25
-raw,repl,5,False,29,4.2798,25
-raw,repl,5,False,30,0.0348,1
-raw,repl,5,False,31,0.1346,10
-raw,repl,5,False,32,0.1922,10
-raw,repl,5,False,33,0.9066,10
-raw,repl,5,False,34,0.682,10
-raw,repl,5,False,35,0.7042,10
-raw,repl,5,False,36,0.1533,10
-raw,repl,5,False,37,0.0293,10
-raw,repl,5,False,38,0.0276,10
-raw,repl,5,False,39,0.0167,10
-raw,repl,5,False,40,0.0486,10
-raw,repl,5,False,41,0.0139,10
-raw,repl,5,False,42,0.0102,10
-raw,repl,5,False,43,0.022,10
-raw,repl,6,False,1,0.0011,1
-raw,repl,6,False,2,0.0395,1
-raw,repl,6,False,3,0.0124,1
-raw,repl,6,False,4,0.0109,1
-raw,repl,6,False,5,0.1458,1
-raw,repl,6,False,6,0.178,1
-raw,repl,6,False,7,0.0403,1
-raw,repl,6,False,8,0.0105,18
-raw,repl,6,False,9,0.1844,10
-raw,repl,6,False,10,0.2908,10
-raw,repl,6,False,11,0.0751,10
-raw,repl,6,False,12,0.0741,10
-raw,repl,6,False,13,0.135,10
-raw,repl,6,False,14,0.2707,10
-raw,repl,6,False,15,0.143,10
-raw,repl,6,False,16,0.1593,10
-raw,repl,6,False,17,0.3521,10
-raw,repl,6,False,18,0.3532,10
-raw,repl,6,False,19,0.6817,10
-raw,repl,6,False,20,0.0063,4
-raw,repl,6,False,21,0.1582,1
-raw,repl,6,False,22,0.079,10
-raw,repl,6,False,23,0.2868,10
-raw,repl,6,False,24,0.0559,10
-raw,repl,6,False,25,0.0106,10
-raw,repl,6,False,26,0.0403,10
-raw,repl,6,False,27,0.009,10
-raw,repl,6,False,28,0.0661,25
-raw,repl,6,False,29,4.1452,25
-raw,repl,6,False,30,0.0359,1
-raw,repl,6,False,31,0.1322,10
-raw,repl,6,False,32,0.193,10
-raw,repl,6,False,33,0.9179,10
-raw,repl,6,False,34,0.6558,10
-raw,repl,6,False,35,0.6871,10
-raw,repl,6,False,36,0.1544,10
-raw,repl,6,False,37,0.0294,10
-raw,repl,6,False,38,0.0191,10
-raw,repl,6,False,39,0.0175,10
-raw,repl,6,False,40,0.0575,10
-raw,repl,6,False,41,0.0182,10
-raw,repl,6,False,42,0.0143,10
-raw,repl,6,False,43,0.0111,10
-raw,repl,7,False,1,0.001,1
-raw,repl,7,False,2,0.0306,1
-raw,repl,7,False,3,0.0069,1
-raw,repl,7,False,4,0.0092,1
-raw,repl,7,False,5,0.1407,1
-raw,repl,7,False,6,0.1603,1
-raw,repl,7,False,7,0.041,1
-raw,repl,7,False,8,0.0119,18
-raw,repl,7,False,9,0.182,10
-raw,repl,7,False,10,0.282,10
-raw,repl,7,False,11,0.0696,10
-raw,repl,7,False,12,0.0668,10
-raw,repl,7,False,13,0.1466,10
-raw,repl,7,False,14,0.2637,10
-raw,repl,7,False,15,0.1453,10
-raw,repl,7,False,16,0.1635,10
-raw,repl,7,False,17,0.3485,10
-raw,repl,7,False,18,0.3336,10
-raw,repl,7,False,19,0.6564,10
-raw,repl,7,False,20,0.0052,4
-raw,repl,7,False,21,0.1665,1
-raw,repl,7,False,22,0.0776,10
-raw,repl,7,False,23,0.2329,10
-raw,repl,7,False,24,0.0519,10
-raw,repl,7,False,25,0.0103,10
-raw,repl,7,False,26,0.0438,10
-raw,repl,7,False,27,0.011,10
-raw,repl,7,False,28,0.0668,25
-raw,repl,7,False,29,4.1121,25
-raw,repl,7,False,30,0.0343,1
-raw,repl,7,False,31,0.1362,10
-raw,repl,7,False,32,0.195,10
-raw,repl,7,False,33,0.9087,10
-raw,repl,7,False,34,0.6488,10
-raw,repl,7,False,35,0.6918,10
-raw,repl,7,False,36,0.1653,10
-raw,repl,7,False,37,0.0258,10
-raw,repl,7,False,38,0.0283,10
-raw,repl,7,False,39,0.0134,10
-raw,repl,7,False,40,0.0555,10
-raw,repl,7,False,41,0.0205,10
-raw,repl,7,False,42,0.0113,10
-raw,repl,7,False,43,0.0094,10
-raw,repl,8,False,1,0.0012,1
-raw,repl,8,False,2,0.0367,1
-raw,repl,8,False,3,0.0089,1
-raw,repl,8,False,4,0.009,1
-raw,repl,8,False,5,0.1396,1
-raw,repl,8,False,6,0.1691,1
-raw,repl,8,False,7,0.0482,1
-raw,repl,8,False,8,0.0143,18
-raw,repl,8,False,9,0.1871,10
-raw,repl,8,False,10,0.2817,10
-raw,repl,8,False,11,0.0712,10
-raw,repl,8,False,12,0.0744,10
-raw,repl,8,False,13,0.141,10
-raw,repl,8,False,14,0.2552,10
-raw,repl,8,False,15,0.1502,10
-raw,repl,8,False,16,0.1742,10
-raw,repl,8,False,17,0.3438,10
-raw,repl,8,False,18,0.3222,10
-raw,repl,8,False,19,0.6795,10
-raw,repl,8,False,20,0.006,4
-raw,repl,8,False,21,0.1614,1
-raw,repl,8,False,22,0.0787,10
-raw,repl,8,False,23,0.2415,10
-raw,repl,8,False,24,0.0486,10
-raw,repl,8,False,25,0.009,10
-raw,repl,8,False,26,0.0434,10
