sf,tag,pass,warmup,query,elapsed_s,rows
10-raw,firsttouch,6,False,6,0.0196,1
10-raw,firsttouch,6,False,7,0.0944,4
10-raw,firsttouch,6,False,8,0.1098,2
10-raw,firsttouch,6,False,9,0.32,175
10-raw,firsttouch,6,False,10,0.2404,20
10-raw,firsttouch,6,False,11,0.0287,0
10-raw,firsttouch,6,False,12,0.08,2
10-raw,firsttouch,6,False,13,0.1984,45
10-raw,firsttouch,6,False,14,0.0628,1
10-raw,firsttouch,6,False,15,0.0396,1
10-raw,firsttouch,6,False,16,0.139,27840
10-raw,firsttouch,6,False,17,0.0641,1
10-raw,firsttouch,6,False,18,0.2259,100
10-raw,firsttouch,6,False,19,0.0896,1
10-raw,firsttouch,6,False,20,0.0798,1804
10-raw,firsttouch,6,False,21,0.1999,100
10-raw,firsttouch,6,False,22,0.081,7
10-raw,firsttouch,7,False,1,0.0916,4
10-raw,firsttouch,7,False,2,0.0407,100
10-raw,firsttouch,7,False,3,0.0954,10
10-raw,firsttouch,7,False,4,0.1014,5
10-raw,firsttouch,7,False,5,0.1073,5
10-raw,firsttouch,7,False,6,0.0199,1
10-raw,firsttouch,7,False,7,0.098,4
10-raw,firsttouch,7,False,8,0.1066,2
10-raw,firsttouch,7,False,9,0.3116,175
10-raw,firsttouch,7,False,10,0.214,20
10-raw,firsttouch,7,False,11,0.0269,0
10-raw,firsttouch,7,False,12,0.0753,2
10-raw,firsttouch,7,False,13,0.2006,45
10-raw,firsttouch,7,False,14,0.0654,1
10-raw,firsttouch,7,False,15,0.0395,1
10-raw,firsttouch,7,False,16,0.1357,27840
10-raw,firsttouch,7,False,17,0.0675,1
10-raw,firsttouch,7,False,18,0.2319,100
10-raw,firsttouch,7,False,19,0.0905,1
10-raw,firsttouch,7,False,20,0.0784,1804
10-raw,firsttouch,7,False,21,0.1762,100
10-raw,firsttouch,7,False,22,0.0839,7
10-raw,firsttouch,8,False,1,0.0916,4
10-raw,firsttouch,8,False,2,0.0447,100
10-raw,firsttouch,8,False,3,0.0968,10
10-raw,firsttouch,8,False,4,0.1127,5
10-raw,firsttouch,8,False,5,0.1075,5
10-raw,firsttouch,8,False,6,0.0207,1
10-raw,firsttouch,8,False,7,0.0914,4
10-raw,firsttouch,8,False,8,0.1126,2
10-raw,firsttouch,8,False,9,0.3127,175
10-raw,firsttouch,8,False,10,0.239,20
10-raw,firsttouch,8,False,11,0.0276,0
10-raw,firsttouch,8,False,12,0.0755,2
10-raw,firsttouch,8,False,13,0.1854,45
10-raw,firsttouch,8,False,14,0.062,1
10-raw,firsttouch,8,False,15,0.0428,1
10-raw,firsttouch,8,False,16,0.1364,27840
10-raw,firsttouch,8,False,17,0.0653,1
10-raw,firsttouch,8,False,18,0.2301,100
10-raw,firsttouch,8,False,19,0.0892,1
10-raw,firsttouch,8,False,20,0.0793,1804
10-raw,firsttouch,8,False,21,0.168,100
10-raw,firsttouch,8,False,22,0.0825,7
10-raw,firsttouch,9,False,1,0.0926,4
10-raw,firsttouch,9,False,2,0.044,100
10-raw,firsttouch,9,False,3,0.0952,10
10-raw,firsttouch,9,False,4,0.1024,5
10-raw,firsttouch,9,False,5,0.1083,5
10-raw,firsttouch,9,False,6,0.0199,1
10-raw,firsttouch,9,False,7,0.0905,4
10-raw,firsttouch,9,False,8,0.1027,2
10-raw,firsttouch,9,False,9,0.3186,175
10-raw,firsttouch,9,False,10,0.2327,20
10-raw,firsttouch,9,False,11,0.0275,0
10-raw,firsttouch,9,False,12,0.0729,2
10-raw,firsttouch,9,False,13,0.2028,45
10-raw,firsttouch,9,False,14,0.0694,1
10-raw,firsttouch,9,False,15,0.0419,1
10-raw,firsttouch,9,False,16,0.1319,27840
10-raw,firsttouch,9,False,17,0.0671,1
10-raw,firsttouch,9,False,18,0.2332,100
10-raw,firsttouch,9,False,19,0.0883,1
10-raw,firsttouch,9,False,20,0.0839,1804
10-raw,firsttouch,9,False,21,0.161,100
10-raw,firsttouch,9,False,22,0.0882,7
10-raw,firsttouch,10,False,1,0.0918,4
10-raw,firsttouch,10,False,2,0.0399,100
10-raw,firsttouch,10,False,3,0.1186,10
10-raw,firsttouch,10,False,4,0.1187,5
10-raw,firsttouch,10,False,5,0.1079,5
10-raw,firsttouch,10,False,6,0.0209,1
10-raw,firsttouch,10,False,7,0.0926,4
10-raw,firsttouch,10,False,8,0.1141,2
10-raw,firsttouch,10,False,9,0.3164,175
10-raw,firsttouch,10,False,10,0.2288,20
10-raw,firsttouch,10,False,11,0.0289,0
10-raw,firsttouch,10,False,12,0.0832,2
10-raw,firsttouch,10,False,13,0.2046,45
10-raw,firsttouch,10,False,14,0.0648,1
10-raw,firsttouch,10,False,15,0.0401,1
10-raw,firsttouch,10,False,16,0.1331,27840
10-raw,firsttouch,10,False,17,0.0668,1
10-raw,firsttouch,10,False,18,0.2326,100
10-raw,firsttouch,10,False,19,0.0887,1
10-raw,firsttouch,10,False,20,0.0812,1804
10-raw,firsttouch,10,False,21,0.1706,100
10-raw,firsttouch,10,False,22,0.0778,7
10-raw,firsttouch,11,False,1,0.0917,4
10-raw,firsttouch,11,False,2,0.041,100
10-raw,firsttouch,11,False,3,0.0963,10
10-raw,firsttouch,11,False,4,0.1174,5
10-raw,firsttouch,11,False,5,0.112,5
10-raw,firsttouch,11,False,6,0.0198,1
10-raw,firsttouch,11,False,7,0.0917,4
10-raw,firsttouch,11,False,8,0.1059,2
10-raw,firsttouch,11,False,9,0.3165,175
10-raw,firsttouch,11,False,10,0.2329,20
10-raw,firsttouch,11,False,11,0.0268,0
10-raw,firsttouch,11,False,12,0.0806,2
10-raw,firsttouch,11,False,13,0.2078,45
10-raw,firsttouch,11,False,14,0.0643,1
10-raw,firsttouch,11,False,15,0.0396,1
10-raw,firsttouch,11,False,16,0.1386,27840
10-raw,firsttouch,11,False,17,0.068,1
10-raw,firsttouch,11,False,18,0.2327,100
10-raw,firsttouch,11,False,19,0.0888,1
10-raw,firsttouch,11,False,20,0.084,1804
10-raw,firsttouch,11,False,21,0.1755,100
10-raw,firsttouch,11,False,22,0.0908,7
10-raw,firsttouch,12,False,1,0.0916,4
10-raw,firsttouch,12,False,2,0.0434,100
10-raw,firsttouch,12,False,3,0.101,10
10-raw,firsttouch,12,False,4,0.1005,5
10-raw,firsttouch,12,False,5,0.1287,5
10-raw,firsttouch,12,False,6,0.0197,1
10-raw,firsttouch,12,False,7,0.0963,4
10-raw,firsttouch,12,False,8,0.1049,2
10-raw,firsttouch,12,False,9,0.3138,175
10-raw,firsttouch,12,False,10,0.2338,20
10-raw,firsttouch,12,False,11,0.0251,0
10-raw,firsttouch,12,False,12,0.0729,2
10-raw,firsttouch,12,False,13,0.195,45
10-raw,firsttouch,12,False,14,0.0617,1
10-raw,firsttouch,12,False,15,0.0407,1
10-raw,firsttouch,12,False,16,0.1341,27840
10-raw,firsttouch,12,False,17,0.0672,1
10-raw,firsttouch,12,False,18,0.2281,100
10-raw,firsttouch,12,False,19,0.0892,1
10-raw,firsttouch,12,False,20,0.0782,1804
10-raw,firsttouch,12,False,21,0.1732,100
10-raw,firsttouch,12,False,22,0.0824,7
10-raw,firsttouch,13,False,1,0.0922,4
10-raw,firsttouch,13,False,2,0.0383,100
10-raw,firsttouch,13,False,3,0.1112,10
10-raw,firsttouch,13,False,4,0.1454,5
10-raw,firsttouch,13,False,5,0.1102,5
10-raw,firsttouch,13,False,6,0.0215,1
10-raw,firsttouch,13,False,7,0.0986,4
10-raw,firsttouch,13,False,8,0.1073,2
10-raw,firsttouch,13,False,9,0.3114,175
10-raw,firsttouch,13,False,10,0.2244,20
10-raw,firsttouch,13,False,11,0.0289,0
10-raw,firsttouch,13,False,12,0.0726,2
10-raw,firsttouch,13,False,13,0.1983,45
10-raw,firsttouch,13,False,14,0.0641,1
10-raw,firsttouch,13,False,15,0.04,1
10-raw,firsttouch,13,False,16,0.1404,27840
10-raw,firsttouch,13,False,17,0.0666,1
10-raw,firsttouch,13,False,18,0.2289,100
10-raw,firsttouch,13,False,19,0.0882,1
10-raw,firsttouch,13,False,20,0.0824,1804
10-raw,firsttouch,13,False,21,0.1743,100
10-raw,firsttouch,13,False,22,0.0872,7
10-raw,firsttouch,14,False,1,0.0922,4
10-raw,firsttouch,14,False,2,0.0424,100
10-raw,firsttouch,14,False,3,0.1024,10
10-raw,firsttouch,14,False,4,0.1148,5
10-raw,firsttouch,14,False,5,0.1047,5
10-raw,firsttouch,14,False,6,0.0197,1
10-raw,firsttouch,14,False,7,0.0931,4
10-raw,firsttouch,14,False,8,0.1213,2
10-raw,firsttouch,14,False,9,0.3143,175
10-raw,firsttouch,14,False,10,0.2299,20
10-raw,firsttouch,14,False,11,0.0259,0
10-raw,firsttouch,14,False,12,0.0857,2
10-raw,firsttouch,14,False,13,0.1993,45
10-raw,firsttouch,14,False,14,0.0645,1
10-raw,firsttouch,14,False,15,0.0399,1
10-raw,firsttouch,14,False,16,0.1341,27840
10-raw,firsttouch,14,False,17,0.064,1
10-raw,firsttouch,14,False,18,0.2288,100
10-raw,firsttouch,14,False,19,0.0927,1
10-raw,firsttouch,14,False,20,0.0786,1804
10-raw,firsttouch,14,False,21,0.1764,100
10-raw,firsttouch,14,False,22,0.0777,7
10-raw,firsttouch,15,False,1,0.093,4
10-raw,firsttouch,15,False,2,0.0396,100
10-raw,firsttouch,15,False,3,0.0991,10
10-raw,firsttouch,15,False,4,0.1049,5
10-raw,firsttouch,15,False,5,0.1134,5
10-raw,firsttouch,15,False,6,0.0204,1
10-raw,firsttouch,15,False,7,0.0965,4
10-raw,firsttouch,15,False,8,0.1058,2
10-raw,firsttouch,15,False,9,0.3145,175
10-raw,firsttouch,15,False,10,0.2339,20
10-raw,firsttouch,15,False,11,0.0259,0
10-raw,firsttouch,15,False,12,0.0782,2
10-raw,firsttouch,15,False,13,0.199,45
10-raw,firsttouch,15,False,14,0.064,1
10-raw,firsttouch,15,False,15,0.0402,1
10-raw,firsttouch,15,False,16,0.1334,27840
10-raw,firsttouch,15,False,17,0.0686,1
10-raw,firsttouch,15,False,18,0.233,100
10-raw,firsttouch,15,False,19,0.0894,1
10-raw,firsttouch,15,False,20,0.0796,1804
10-raw,firsttouch,15,False,21,0.1723,100
10-raw,firsttouch,15,False,22,0.0839,7
10-raw,firsttouch,16,False,1,0.092,4
10-raw,firsttouch,16,False,2,0.0407,100
10-raw,firsttouch,16,False,3,0.1173,10
10-raw,firsttouch,16,False,4,0.1434,5
10-raw,firsttouch,16,False,5,0.1051,5
10-raw,firsttouch,16,False,6,0.0208,1
10-raw,firsttouch,16,False,7,0.0966,4
10-raw,firsttouch,16,False,8,0.1042,2
10-raw,firsttouch,16,False,9,0.322,175
10-raw,firsttouch,16,False,10,0.2291,20
10-raw,firsttouch,16,False,11,0.0328,0
10-raw,firsttouch,16,False,12,0.0756,2
10-raw,firsttouch,16,False,13,0.199,45
10-raw,firsttouch,16,False,14,0.063,1
10-raw,firsttouch,16,False,15,0.0403,1
10-raw,firsttouch,16,False,16,0.1362,27840
10-raw,firsttouch,16,False,17,0.0649,1
10-raw,firsttouch,16,False,18,0.2342,100
10-raw,firsttouch,16,False,19,0.0883,1
10-raw,firsttouch,16,False,20,0.0781,1804
10-raw,firsttouch,16,False,21,0.1784,100
10-raw,firsttouch,16,False,22,0.0828,7
10-raw,firsttouch,17,False,1,0.0928,4
10-raw,firsttouch,17,False,2,0.0406,100
10-raw,firsttouch,17,False,3,0.0995,10
10-raw,firsttouch,17,False,4,0.1151,5
