sf,tag,pass,warmup,query,elapsed_s,rows
10-raw,imbalanced,6,False,6,0.0257,1
10-raw,imbalanced,6,False,7,0.1031,4
10-raw,imbalanced,6,False,8,0.1101,2
10-raw,imbalanced,6,False,9,0.3345,175
10-raw,imbalanced,6,False,10,0.2668,20
10-raw,imbalanced,6,False,11,0.0268,0
10-raw,imbalanced,6,False,12,0.0802,2
10-raw,imbalanced,6,False,13,0.2265,45
10-raw,imbalanced,6,False,14,0.0664,1
10-raw,imbalanced,6,False,15,0.0432,1
10-raw,imbalanced,6,False,16,0.1402,27840
10-raw,imbalanced,6,False,17,0.0661,1
10-raw,imbalanced,6,False,18,0.2694,100
10-raw,imbalanced,6,False,19,0.0953,1
10-raw,imbalanced,6,False,20,0.0799,1804
10-raw,imbalanced,6,False,21,0.2323,100
10-raw,imbalanced,6,False,22,0.094,7
10-raw,imbalanced,7,False,1,0.0938,4
10-raw,imbalanced,7,False,2,0.0443,100
10-raw,imbalanced,7,False,3,0.11,10
10-raw,imbalanced,7,False,4,0.1117,5
10-raw,imbalanced,7,False,5,0.1069,5
10-raw,imbalanced,7,False,6,0.0251,1
10-raw,imbalanced,7,False,7,0.1013,4
10-raw,imbalanced,7,False,8,0.1231,2
10-raw,imbalanced,7,False,9,0.3246,175
10-raw,imbalanced,7,False,10,0.2582,20
10-raw,imbalanced,7,False,11,0.0291,0
10-raw,imbalanced,7,False,12,0.0813,2
10-raw,imbalanced,7,False,13,0.2307,45
10-raw,imbalanced,7,False,14,0.068,1
10-raw,imbalanced,7,False,15,0.0441,1
10-raw,imbalanced,7,False,16,0.1425,27840
10-raw,imbalanced,7,False,17,0.0699,1
10-raw,imbalanced,7,False,18,0.2573,100
10-raw,imbalanced,7,False,19,0.0884,1
10-raw,imbalanced,7,False,20,0.0837,1804
10-raw,imbalanced,7,False,21,0.1863,100
10-raw,imbalanced,7,False,22,0.0838,7
10-raw,imbalanced,8,False,1,0.0931,4
10-raw,imbalanced,8,False,2,0.043,100
