label,dataset,runner_name,tag,run_id,recall,total_time,qps,start_time,end_time,warmup,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,afreq,freq,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
locality,gist-960-euclidean,usearch,firsttouch,1,0.97791,5.054031371999997,197.8618505496686,2026-09-04T19:20:56.374280,2026-09-04T19:21:01.428333,True,5,48.6,76.8,20.6,5.3642578125,3.042578125,2.413671875,2.694921875,0.49000000000000005,543.058,269.16999999999996,273.88800000000003,0.76,0.01,0.9827739806052106,138.268,0.41200000000000003,1.2760000000000002,0.906,0.00186,6.6006640625,11.374380859374998,12.950000000000001,7.4,9.002917968750001,5.6301171875,3.3728007812500005,3.0499062500000003,2.5802070312500005,1.8455292968750001,1.527271484375,1.5989219665527343,0.9850639343261719,0.6138580322265624,13.07109375,7.34140625,5.7296875,2.0,9.0,25.4,4.4,0.0
locality,gist-960-euclidean,usearch,firsttouch,2,0.97791,0.926349827000024,1079.5057880439092,2026-09-04T19:21:01.476110,2026-09-04T19:21:02.402483,True,1,50.0,50.0,51.0,19.2177734375,18.130859375,17.072265625,18.7333984375,0.5,3117.19,1565.66,1551.53,1.0,0.05,0.9909750520547245,196.73,0.12,6.0,5.22,0.0017,42.687412109375,64.6340625,76.5,50.0,109.878935546875,82.8278515625,27.051083984375,42.797421875,40.0304296875,13.916455078125,13.13462890625,2.53314208984375,1.4353828430175781,1.0977592468261719,13.58984375,7.69140625,5.8984375,3.0,31.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,3,0.97791,0.9161486529999934,1091.5259185563712,2026-09-04T19:21:02.449853,2026-09-04T19:21:03.366028,True,1,50.0,51.0,49.0,19.1728515625,17.2890625,17.4228515625,18.3916015625,0.5,3314.74,1680.96,1633.78,1.0,0.05,0.9719327051208833,193.31,0.11,6.45,5.66,0.0017,42.50482421875,63.634921875,75.0,50.0,103.6115625,82.28763671875,21.32392578125,42.594609375,39.69302734375,11.03640625,10.287529296875,2.5333328247070312,1.4353981018066406,1.0979347229003906,13.59375,7.6953125,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,4,0.97791,0.9087573630000064,1100.403738902078,2026-09-04T19:21:03.413525,2026-09-04T19:21:04.322303,True,1,50.0,50.0,49.0,19.25390625,17.583984375,17.462890625,18.763671875,0.51,3377.0,1711.1,1665.9,1.0,0.05,0.9735842440535329,189.18,0.1,6.62,5.84,0.0017,42.88876953125,63.994931640625,75.5,50.5,102.334560546875,83.733203125,18.6013671875,43.30068359375,40.432509765625,9.654033203125,8.947333984375,2.5333328247070312,1.435394287109375,1.0979385375976562,13.59765625,7.69921875,5.8984375,5.0,31.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,5,0.97791,0.9056031210000128,1104.2364771178677,2026-09-04T19:21:04.369534,2026-09-04T19:21:05.275162,True,1,50.0,50.0,49.0,19.05859375,17.587890625,17.341796875,18.712890625,0.51,3203.65,1619.15,1584.5,1.0,0.05,0.9785998826544792,187.14,0.11,6.28,5.5,0.0017,42.641162109375,63.6169921875,75.5,50.5,101.4191796875,84.53474609375,16.88443359375,43.81853515625,40.716220703125,8.80255859375,8.081884765625,2.533233642578125,1.4352989196777344,1.0979347229003906,13.6015625,7.703125,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,6,0.97791,0.9103038689999609,1098.5342741633926,2026-09-04T19:21:05.322535,2026-09-04T19:21:06.232858,True,1,50.0,50.0,49.0,18.7060546875,17.203125,16.9833984375,18.4052734375,0.51,3130.06,1580.59,1549.47,1.0,0.05,0.9803111496339975,186.44,0.11,6.12,5.38,0.0017,41.697705078125,62.1994140625,73.5,49.5,100.88736328125,85.21642578125,15.670927734375,44.119091796875,41.09734375,8.170146484375,7.50078125,2.5332412719726562,1.4352989196777344,1.0979423522949219,13.60546875,7.70703125,5.8984375,5.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,9,0.97791,0.8988531800000032,1112.5287446833045,2026-09-04T19:21:08.189516,2026-09-04T19:21:09.088389,True,1,50.0,50.0,49.0,18.6533203125,16.9306640625,16.9482421875,18.12109375,0.51,3183.25,1611.61,1571.65,1.0,0.05,0.9752049193042983,184.76,0.1,6.18,5.49,0.0017,41.327216796875,61.189443359375,72.0,48.5,99.02173828125,85.760146484375,13.261591796875,44.44666015625,41.313486328125,6.9478515625,6.31373046875,,,,,,,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,10,0.97791,0.9054717559999972,1104.3966787187155,2026-09-04T19:21:09.135665,2026-09-04T19:21:10.041158,True,1,50.0,51.0,49.0,19.7021484375,17.7392578125,17.7255859375,18.7958984375,0.51,3095.71,1569.98,1525.73,1.0,0.05,0.9718149275786953,184.17,0.1,6.01,5.34,0.0017,43.31416015625,64.00955078125,76.5,51.5,98.86900390625,85.95736328125,12.911630859375,44.5428125,41.414560546875,6.76412109375,6.147509765625,,,,,,,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,11,0.97791,0.893319818000009,1119.419920895553,2026-09-04T19:21:10.088453,2026-09-04T19:21:10.981793,True,1,50.0,50.0,49.0,19.58203125,17.6962890625,17.83984375,18.962890625,0.51,3325.58,1689.25,1636.33,1.0,0.05,0.9686724877904395,184.22,0.09,6.46,5.75,0.0017,43.565126953125,64.200390625,76.0,51.5,98.288994140625,85.8717578125,12.417236328125,44.512236328125,41.359521484375,6.521923828125,5.8953125,2.5300559997558594,1.4334907531738281,1.0965652465820312,13.62109375,7.72265625,5.8984375,5.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,12,0.97791,0.903001728999982,1107.4175916666711,2026-09-04T19:21:11.029067,2026-09-04T19:21:11.932089,True,1,50.0,50.0,49.0,19.833984375,17.9814453125,18.03125,19.251953125,0.51,3462.19,1756.23,1705.96,1.0,0.05,0.9713761864903799,183.59,0.1,6.79,6.04,0.0017,44.031728515625,64.851767578125,77.0,52.0,98.48390625,86.378662109375,12.105244140625,44.75513671875,41.623525390625,6.34421875,5.761025390625,2.5297775268554688,1.4330215454101562,1.0967559814453125,13.625,7.7265625,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,13,0.97791,0.8972466839999811,1114.5206974094774,2026-09-04T19:21:11.979345,2026-09-04T19:21:12.876614,True,1,50.0,50.0,49.0,19.693359375,17.73828125,17.9384765625,19.0712890625,0.51,3394.03,1719.84,1674.19,1.0,0.05,0.9734568331937855,183.41,0.1,6.63,5.89,0.0017,43.6779296875,64.243271484375,76.0,51.5,95.56900390625,84.18375,11.385244140625,43.660107421875,40.523642578125,6.0104296875,5.37482421875,2.529277801513672,1.4328384399414062,1.0964393615722656,13.62890625,7.73046875,5.8984375,5.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,14,0.97791,0.8988360029999853,1112.5500054096256,2026-09-04T19:21:12.923886,2026-09-04T19:21:13.822742,True,1,50.0,51.0,49.0,19.89453125,17.9736328125,17.890625,19.0576171875,0.51,3249.11,1645.28,1603.83,1.0,0.05,0.9748067198288437,182.23,0.1,6.34,5.63,0.0017,43.6970703125,64.401064453125,76.5,51.5,93.5962109375,82.654951171875,10.94125,42.844990234375,39.809951171875,5.75732421875,5.18392578125,2.529296875,1.4328498840332031,1.0964469909667969,13.6328125,7.734375,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,15,0.97791,0.88849555500002,1125.4980335832715,2026-09-04T19:21:13.870030,2026-09-04T19:21:14.758552,True,1,50.0,50.0,49.0,19.7626953125,17.91015625,17.900390625,19.1435546875,0.51,3396.82,1721.87,1674.94,1.0,0.05,0.9727447484421008,182.53,0.1,6.62,5.89,0.0017,43.76921875,64.346474609375,76.5,51.5,,,,,,,,2.5273590087890625,1.4324722290039062,1.0948867797851562,13.63671875,7.73828125,5.8984375,3.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,16,0.97791,0.894964721000008,1117.3624798110798,2026-09-04T19:21:14.806128,2026-09-04T19:21:15.701113,True,1,50.0,50.0,49.0,,18.1611328125,0.0,19.3935546875,0.51,3315.38,1688.68,1626.71,1.0,0.05,0.9633026979652747,182.08,0.1,6.44,5.73,0.0017,44.31873046875,65.136796875,77.0,52.5,,,,,,,,2.5270156860351562,1.4322090148925781,1.0948066711425781,13.62109375,7.72265625,5.8984375,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,17,0.97791,0.9047577029999728,1105.2682908188845,2026-09-04T19:21:15.748462,2026-09-04T19:21:16.653246,True,1,50.0,50.0,49.0,,,0.0,0.0,0.51,3168.79,1609.39,1559.4,1.0,0.05,0.9689385419320363,181.89,0.09,6.17,5.49,0.0017,43.983408203125,64.603603515625,76.5,52.0,98.058359375,86.91685546875,11.14150390625,44.97603515625,41.9408203125,5.85126953125,5.290234375,2.5272445678710938,1.43243408203125,1.0948104858398438,13.6484375,7.75,5.8984375,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,18,0.97791,0.8926073879999876,1120.3133801532167,2026-09-04T19:21:16.700715,2026-09-04T19:21:17.593359,True,1,50.0,50.0,49.0,19.5693359375,17.7587890625,17.7685546875,,0.51,3292.48,1675.78,1616.71,1.0,0.05,0.9647507429376172,181.42,0.09,6.41,5.71,0.0017,43.427451171875,63.80720703125,75.5,51.5,96.707900390625,85.92443359375,10.78345703125,44.64666015625,41.2777734375,5.68431640625,5.099140625,2.5272560119628906,1.4324378967285156,1.094818115234375,13.65234375,7.75390625,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,19,0.97791,0.9064855190000004,1103.1615828823844,2026-09-04T19:21:17.640665,2026-09-04T19:21:18.547172,True,1,50.0,51.0,49.0,,18.09765625,18.0771484375,19.15234375,0.52,3344.58,1706.48,1638.1,1.0,0.05,0.9599292110074539,180.56,0.09,6.5,5.8,0.0017,43.862392578125,64.542021484375,76.5,52.0,98.191328125,87.395478515625,10.795859375,45.316640625,42.078837890625,5.690009765625,5.10583984375,2.52728271484375,1.4324531555175781,1.0948295593261719,13.65625,7.7578125,5.8984375,3.0,31.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,20,0.97791,0.9084240939999972,1100.8074385134075,2026-09-04T19:21:18.594456,2026-09-04T19:21:19.502900,True,1,50.0,50.0,49.0,,17.796875,17.611328125,18.888671875,0.51,3150.7,1594.34,1556.36,1.0,0.05,0.9761782304903597,180.22,0.09,6.12,5.45,0.0017,43.191025390625,63.57666015625,75.5,51.0,96.173447265625,85.877275390625,10.296171875,44.525830078125,41.3514453125,5.43595703125,4.86021484375,2.5272865295410156,1.4324493408203125,1.0948371887207031,13.66015625,7.76171875,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,21,0.97791,0.9023309300000052,1108.2408534970582,2026-09-04T19:21:19.550184,2026-09-04T19:21:20.452535,True,1,50.0,50.0,49.0,19.443359375,,17.8203125,0.0,0.51,3356.92,1694.63,1662.29,1.0,0.05,0.980916188194473,181.89,0.1,6.55,5.82,0.0017,43.467607421875,63.835302734375,75.5,51.5,96.09068359375,85.795078125,10.295595703125,44.47931640625,41.31576171875,5.420205078125,4.875390625,2.52728271484375,1.4324493408203125,1.0948333740234375,13.6640625,7.765625,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,22,0.97791,0.907049889999996,1102.475190201505,2026-09-04T19:21:20.499915,2026-09-04T19:21:21.406985,True,1,49.0,50.0,49.0,19.478515625,17.4375,18.080078125,19.1435546875,0.51,3338.51,1689.35,1649.16,1.0,0.05,0.9762097848284844,181.15,0.09,6.49,5.78,0.0017,43.845810546875,64.33447265625,76.5,52.0,96.68931640625,86.434736328125,10.254580078125,44.83154296875,41.603203125,5.404521484375,4.85005859375,2.5272903442382812,1.4324531555175781,1.0948371887207031,13.66796875,7.76953125,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,23,0.97791,0.9041958130000012,1105.9551323093758,2026-09-04T19:21:21.454322,2026-09-04T19:21:22.358545,True,1,49.0,50.0,49.0,19.421875,17.8037109375,17.8251953125,19.240234375,0.51,3240.41,1619.83,1620.57,1.0,0.05,0.9995433705424634,180.58,0.09,6.31,5.63,0.0017,43.691044921875,64.208818359375,76.5,51.5,96.26310546875,86.10263671875,10.16046875,44.6466015625,41.45603515625,5.348935546875,4.811533203125,2.5272903442382812,1.4324531555175781,1.0948371887207031,13.671875,7.7734375,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,24,0.97791,0.9043105129999844,1105.8148563180723,2026-09-04T19:21:22.406112,2026-09-04T19:21:23.310449,True,1,50.0,50.0,49.0,19.4931640625,17.673828125,17.6865234375,18.9853515625,0.51,3153.09,1601.54,1551.55,1.0,0.05,0.968786293192802,179.31,0.09,6.17,5.5,0.0017,43.237109375,63.711123046875,75.5,50.5,96.254580078125,86.391669921875,9.86291015625,44.815185546875,41.576484375,5.196787109375,4.666123046875,2.5272865295410156,1.4324493408203125,1.0948371887207031,13.67578125,7.77734375,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,25,0.97791,0.9133476829999836,1094.87330905072,2026-09-04T19:21:23.357816,2026-09-04T19:21:24.271184,True,1,50.0,50.0,50.0,18.8974609375,17.521484375,17.10546875,18.7216796875,0.52,3249.69,1636.97,1612.71,1.0,0.05,0.9851799361014557,178.94,0.1,6.33,5.63,0.0017,42.29640625,62.4577734375,74.0,50.0,96.013623046875,86.310078125,9.70353515625,44.769921875,41.54015625,5.114541015625,4.588994140625,2.527301788330078,1.4324569702148438,1.0948448181152344,13.6796875,7.78125,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,26,0.97791,0.9096792820000132,1099.2885292511096,2026-09-04T19:21:24.318547,2026-09-04T19:21:25.228248,True,1,50.0,50.0,49.0,18.521484375,17.1142578125,16.849609375,18.2666015625,0.51,3065.91,1553.95,1511.96,1.0,0.04,0.9729785385630169,179.35,0.09,5.96,5.31,0.0017,41.458408203125,61.16486328125,72.5,49.0,94.935009765625,85.448486328125,9.4865234375,44.3200390625,41.128447265625,4.998955078125,4.487568359375,2.5273170471191406,1.432464599609375,1.0948524475097656,13.68359375,7.78515625,5.8984375,3.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,29,0.97791,0.9030810560000192,1107.3203156638676,2026-09-04T19:21:27.152815,2026-09-04T19:21:28.055922,False,1,50.0,50.0,49.0,19.7353515625,17.837890625,17.880859375,19.0517578125,0.51,3188.45,1620.63,1567.82,1.0,0.05,0.9674139069374255,180.04,0.09,6.21,5.52,0.0017,43.4833984375,63.732978515625,75.0,51.0,97.100205078125,87.641796875,9.4583984375,45.46751953125,42.17427734375,4.97484375,4.4835546875,2.5273361206054688,1.4324760437011719,1.0948600769042969,13.69140625,7.79296875,5.8984375,4.0,32.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,30,0.97791,0.8880338989999927,1126.0831384095711,2026-09-04T19:21:28.103217,2026-09-04T19:21:28.991272,False,1,50.0,50.0,49.0,19.658203125,17.76171875,17.81640625,19.0263671875,0.51,3345.23,1711.16,1634.06,1.0,0.05,0.9549428457888215,179.83,0.1,6.52,5.79,0.0017,43.605283203125,63.950205078125,76.0,51.5,95.76404296875,86.50330078125,9.260751953125,44.86505859375,41.638232421875,4.880185546875,4.38056640625,2.5274085998535156,1.432525634765625,1.0948829650878906,13.6953125,7.796875,5.8984375,5.0,31.0,3.0,0.0,0.0
locality,gist-960-euclidean,usearch,firsttouch,31,0.97791,0.8987293650000083,1112.6820141233404,2026-09-04T19:21:29.038518,2026-09-04T19:21:29.937266,False,1,50.0,50.0,49.0,20.1240234375,18.1728515625,18.2275390625,19.4365234375,0.51,3375.66,1704.59,1671.07,1.0,0.05,0.9803354472336456,179.7,0.09,6.58,5.86,0.0017,44.371708984375,65.05033203125,77.0,52.5,96.905029296875,87.623671875,9.281357421875,45.362451171875,42.2612109375,4.886748046875,4.394599609375,2.527423858642578,1.4325294494628906,1.0948944091796875,13.69921875,7.80078125,5.8984375,,,,,0.0
