label,dataset,readratio,writeratio,run,benchmark,tag,ts_start,ts_end,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,afreq,freq,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s,kernel,pgt_tag
fio,details,100,0,1,readwrite_random,default,1788209161.902189,1788209212.397854,102.48342694,0.0,102.30612587230928,0.0,30.057,0.001635425387,0.0,0.0016315767548924,0.0,2026-08-31 22:46:01.902189016,2026-08-31 22:46:52.397854090,51,49.90196078431372,51.549019607843135,48.549019607843135,22.580154718137255,23.75924862132353,23.125555300245097,22.39663756127451,0.44882352941176473,2939.9107843137253,1468.1421568627452,1471.7686274509806,0.9943137254901961,0.05470588235294118,0.997535977788495,189.08490196078432,0.058039215686274515,56.32901960784314,54.17647058823528,0.017256862745098037,47.38852175245099,68.07385799632353,80.65196078431373,55.8578431372549,100.665452734375,96.5024111328125,4.163041992187501,47.4600521484375,49.042358984375,2.5867355468750004,1.5763058593750001,1.270635866651348,0.6449353835161995,0.6257099076813343,10.1796875,6.27734375,3.90234375,8.78,53.24,5.3,0.7,0.0,,
fio,details,100,0,2,readwrite_random,default,1788209212.9985998,1788209263.506867,97.016454988,0.0,96.82604313096704,0.0,30.061,0.014266857022,0.0,0.0150486950445321,0.0,2026-08-31 22:46:52.998599768,2026-08-31 22:47:43.506866932,51,50.627450980392155,51.96078431372549,47.294117647058826,28.34146484375,16.95314453125,17.465245863970587,25.21124387254902,0.3998039215686273,2804.1215686274504,1456.7449019607848,1347.3780392156862,0.9970588235294117,0.05529411764705882,0.9249238060844487,200.2929411764706,0.05196078431372551,53.19960784313726,51.14941176470588,0.01734705882352941,45.08573012408088,65.78398954503677,77.82843137254902,53.36274509803921,95.8714404296875,91.66889316406248,4.202549609375,55.305837890625,36.363055273437496,3.0155578125,1.1869910156249999,1.2710615419874005,0.7610649408078661,0.5099966011795343,10.176547181372548,6.239736519607843,3.936810661764706,9.74,54.26,6.28,0.7,0.0,,
fio,details,100,0,3,readwrite_random,default,1788209264.0440116,1788209314.544577,84.10602481,0.0,83.95492106331305,0.0,30.057,0.002117498601,0.0,0.002575763223321,0.0,2026-08-31 22:47:44.044011593,2026-08-31 22:48:34.544576883,51,55.294117647058826,57.450980392156865,43.23529411764706,36.06818359375,6.605611165364583,7.80046237244898,26.9127272002551,0.36176470588235304,2424.5974509803923,1381.3301960784313,1043.266862745098,0.9966666666666666,0.055098039215686276,0.7552624750453669,237.50000000000003,0.05764705882352942,44.7756862745098,42.9635294117647,0.016852941176470588,35.804098690257355,56.704743412990204,67.30882352941177,42.15686274509804,81.70364101562501,78.27363066406251,3.43001015625,63.63736406249999,14.6362673828125,2.8968416015625,0.5331681640625,1.2727982764150583,0.9721041660682828,0.3007035348929611,10.211933210784315,6.308900122549019,3.903033088235294,9.755102040816327,57.57142857142857,4.673469387755102,0.6938775510204082,0.0,,
fio,details,100,0,4,readwrite_random,default,1788209315.0746908,1788209365.5770423,102.466121006,0.0,102.28202563321798,0.0,30.056,0.001503871419,0.0,0.0015019551307084,0.0,2026-08-31 22:48:35.074690819,2026-08-31 22:49:25.577042341,51,50.529411764705884,50.294117647058826,48.98039215686274,22.943419164540817,24.30103515625,25.18687666223404,21.97216796875,0.41666666666666674,2951.205882352942,1470.2662745098037,1480.9403921568626,0.9964705882352941,0.05529411764705882,0.9927923380957198,191.0727450980392,0.052352941176470595,56.547843137254915,54.37686274509804,0.017501960784313726,47.44654181985295,68.24405867034314,80.88235294117646,55.970588235294116,100.28749042968751,96.170722265625,4.1167683593749995,46.2815560546875,49.889166015624994,2.540682421875,1.5760861328125,1.2736553192138673,0.6325662231445313,0.6410890960693358,10.2146875,6.31234375,3.90234375,9.0,53.3469387755102,5.326530612244898,0.673469387755102,0.0,,
fio,details,100,0,5,readwrite_random,default,1788209366.1247735,1788209416.6170266,102.789696678,0.0,102.62892208539384,0.0,30.049,0.002050575463,0.0,0.0020411534702129,0.0,2026-08-31 22:49:26.124773502,2026-08-31 22:50:16.617026567,51,50.31372549019608,50.68627450980392,49.294117647058826,22.95900390625,24.443120216836736,24.05697943239796,22.729014295212767,0.424313725490196,2957.0439215686274,1475.5896078431372,1481.4539215686273,0.9968627450980393,0.05529411764705882,0.996041514595823,190.14803921568628,0.05,56.770980392156865,54.5621568627451,0.01755882352941177,47.52792853860294,68.30152516084559,80.82352941176471,56.1764705882353,100.25689335937501,96.26364296874999,3.9932505859375,47.1788720703125,49.08477187500001,2.4336990234374998,1.5595517578124998,1.2753775787353514,0.6452944946289062,0.6300830841064453,10.198203125,6.295859375,3.90234375,9.061224489795919,53.53061224489796,5.326530612244898,0.7142857142857143,0.0,,
fio,details,100,0,1,readwrite_random,interleaved,1788209417.1713574,1788209467.6805189,102.477069207,0.0,102.31679426681308,0.0,30.051,0.002205429101,0.0,0.0022020479090608,0.0,2026-08-31 22:50:17.171357393,2026-08-31 22:51:07.680518866,51,49.705882352941174,49.98039215686274,49.1764705882353,23.60126953125,23.65365234375,23.530153858418366,23.280924479166668,0.4207843137254903,2952.764117647059,1476.2270588235294,1476.5368627450982,0.9958823529411764,0.055098039215686276,0.9997901820608848,190.74607843137258,0.04941176470588236,56.634901960784305,54.479019607843135,0.01755882352941177,47.65028550091911,68.42252757352941,81.07352941176471,56.333333333333336,100.35580371093751,96.14902675781249,4.2067763671875,48.21330273437499,47.935724023437494,2.2387458984374997,1.9680314453125,1.276062698364258,0.6592755126953125,0.6167871856689453,10.20515625,5.007421875,5.197734375,9.183673469387756,53.63265306122449,5.26530612244898,0.7142857142857143,0.0,,
fio,details,100,0,2,readwrite_random,interleaved,1788209468.2142348,1788209518.736896,102.481796449,0.0,102.27045863562282,0.0,30.065,0.001791837988,0.0,0.0017883814564568,0.0,2026-08-31 22:51:08.214234829,2026-08-31 22:51:58.736896038,50,49.7,49.8,49.48,24.82806396484375,23.36880181760204,23.973030252659573,23.73102975398936,0.4294,2987.264,1493.493,1493.7706,0.9958,0.055600000000000004,0.9998141615586756,190.79800000000003,0.048400000000000006,57.35339999999999,55.13420000000001,0.017576,48.20133828125,69.179739453125,81.97,56.835,100.20959218750001,96.05261132812502,4.1569804687500005,48.10294765625001,47.94966484375001,2.04748203125,2.1094990234375,1.2781471252441405,0.6602588653564453,0.6178882598876954,10.2403125,5.096171875,5.144140625,8.89795918367347,53.63265306122449,5.26530612244898,0.7551020408163265,0.0,,
fio,details,100,0,3,readwrite_random,interleaved,1788209519.2868154,1788209569.8068378,102.538720651,0.0,102.3340729704953,0.0,30.063,0.002151353175,0.0,0.002146791711269,0.0,2026-08-31 22:51:59.286815405,2026-08-31 22:52:49.806837797,50,49.54,50.06,48.9,23.9669189453125,25.05088513962766,23.849728954081634,23.368326822916668,0.4278,2982.146,1490.812,1491.3346000000001,0.9956,0.055600000000000004,0.9996495756217282,190.87319999999997,0.04800000000000001,57.212999999999994,55.01080000000001,0.017546,48.128458984374994,69.0982703125,81.895,56.684999999999995,100.09945427389705,95.97085229013479,4.128600643382353,48.11165173100491,47.859200176164215,2.136956954656863,1.9916442631740197,1.2793061828613281,0.6608553314208985,0.6184604644775391,10.23640625,5.040234375,5.196171875,9.040816326530612,53.61224489795919,5.26530612244898,0.7346938775510204,0.0,,
fio,details,100,0,4,readwrite_random,interleaved,1788209570.369401,1788209620.87985,102.336142646,0.0,102.1692828366831,0.0,30.052,0.001678728955,0.0,0.0016784945651825,0.0,2026-08-31 22:52:50.369400978,2026-08-31 22:53:40.879849911,50,49.5,52.12,47.28,24.824073304521278,24.178507486979168,22.707967122395832,23.20603475765306,0.4304,2977.6921999999995,1495.6884,1482.0028,0.9958,0.055600000000000004,0.9908499658083862,190.34300000000002,0.0616,57.25379999999999,55.0648,0.017554,48.0933380859375,68.99607265624999,81.75999999999999,56.865,100.15297545189951,95.92288028492646,4.230095549938726,48.07434876685049,47.84853190104166,2.162778799019608,2.067316176470588,1.2807505798339844,0.6616928100585937,0.6190577697753906,10.2615625,5.027578125,5.233984375,9.10204081632653,53.326530612244895,5.26530612244898,0.7551020408163265,0.0,,
fio,details,100,0,5,readwrite_random,interleaved,1788209621.407671,1788209671.9179037,102.642574313,0.0,102.47521486490083,0.0,30.052,0.0017726243159999,0.0,0.0017672519282477,0.0,2026-08-31 22:53:41.407670975,2026-08-31 22:54:31.917903662,50,49.26,50.64,48.62,23.847716039540817,24.459765625,24.0997314453125,23.809061686197918,0.42,2982.5964000000004,1494.5342,1488.0613999999998,0.9964,0.055600000000000004,0.9956690184808081,190.70260000000002,0.054000000000000006,57.19179999999999,55.006400000000006,0.017516,48.029048632812504,68.9539248046875,81.745,56.695,100.1048504518995,96.01217390471811,4.092676738664215,48.15406288296568,47.85811121323528,2.1561132812499997,1.9365636488970586,1.282115173339844,0.6623190307617188,0.619796142578125,10.291328125,5.051640625,5.2396875,8.877551020408163,53.59183673469388,5.224489795918367,0.7346938775510204,0.0,,
