label,dataset,ops_sec,mb_sec,lsm_sz,blob_sz,c_wgb,c_mbps,c_wsecs,c_csecs,b_rgb,b_wgb,usec_op,p50,p99,p99.9,p99.99,pmax,uptime,stall%,u_cpu,s_cpu,rss,test,date,version,githash,tag,nb_runs,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,afreq,freq,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
rocksdb,results,7916162,2004.5,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","9,0",14,988,2820,10572,120,0.0,"6,0","0,0","8,1",readrandom,2026-08-29T23:52:19,10.5.0,11a259a5f0,default-readrandom,0,2026-08-29T23:52:18.900214,2026-08-29T23:54:20.815760,37,50.0,50.972972972972975,49.972972972972975,12.002243454391891,12.782860008445946,12.699297930743244,11.213022592905405,0.6410810810810812,5057.474864864865,2551.595675675676,2505.88,1.0,0.060000000000000005,0.9820834953940851,165.8245945945946,0.778108108108108,9.77054054054054,2.0713513513513515,0.0003999999999999999,26.439971230996626,48.404230627111495,57.33108108108108,31.094594594594593,73.75283203125,54.419778557854734,19.33305268158784,24.94500475084459,29.47477354307433,8.979945101351351,10.35310837204392,8.396057335106102,4.181251628978832,4.21480570612727,25.894425675675677,6.410472972972973,19.4839527027027,4.0,16.0,18.0,1.0,75.0
rocksdb,results,7967667,2017.7,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","8,0",14,977,2816,10817,120,0.0,"6,0","0,0","8,1",readrandom,2026-08-29T23:54:22,10.5.0,11a259a5f0,default-readrandom,1,2026-08-29T23:54:22.326548,2026-08-29T23:56:24.224000,37,50.0,50.0,50.0,13.425411739864865,12.411000844594595,12.634686444256756,12.660499366554054,0.6499999999999998,5094.501081081081,2557.1521621621614,2537.347837837838,1.0,0.060000000000000005,0.992255320345279,165.55459459459462,0.7783783783783784,9.75918918918919,2.07,0.0003999999999999999,26.389445470861485,48.226471706081085,57.0,30.95945945945946,73.81897223395272,54.55108767947635,19.267885610219594,28.713035525760134,25.83805347339527,9.948358055320949,9.319526499155405,8.39731876270191,4.137735418371252,4.259583344330658,25.87647804054054,19.13502956081081,6.74144847972973,3.918918918918919,15.35135135135135,18.0,1.0,75.0
rocksdb,results,7936521,2009.7,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","8,0",14,982,2819,12952,120,0.0,"6,0","0,0","8,1",readrandom,2026-08-29T23:56:26,10.5.0,11a259a5f0,default-readrandom,2,2026-08-29T23:56:25.717314,2026-08-29T23:58:27.625645,37,50.0,50.648648648648646,50.0,12.15041701858108,12.627296241554054,12.462573902027026,11.363597972972974,0.6454054054054055,5068.482162162161,2556.404324324324,2512.076756756757,1.0,0.060000000000000005,0.9826601891000621,165.6045945945946,0.7794594594594595,9.692432432432433,2.044594594594595,0.0003999999999999999,26.326453494510137,48.20660578547297,57.11486486486486,31.0,73.71083878800678,54.40364653716217,19.307191459037163,25.739898912584465,28.663748416385136,9.356245513091215,9.950946209881758,8.397050963507759,4.337159368726942,4.059891594780816,25.875325520833332,5.924696180555555,19.95062934027778,3.945945945945946,15.0,18.0,1.0,75.0
rocksdb,results,7970382,2018.3,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","8,0",14,976,2816,10501,120,0.0,"6,0","0,0","8,1",readrandom,2026-08-29T23:58:29,10.5.0,11a259a5f0,default-readrandom,3,2026-08-29T23:58:29.130800,2026-08-30T00:00:31.028558,37,50.0,50.7027027027027,50.0,12.696948902027026,12.302180109797296,12.072872677364865,11.90915329391892,0.6502702702702702,5089.521081081081,2566.8867567567568,2522.6348648648645,1.0,0.060000000000000005,0.9827604814371305,165.68,0.7789189189189188,9.716486486486486,2.057027027027027,0.0003999999999999999,26.43135953336149,48.32688766891892,57.277027027027025,30.993243243243242,74.05989891258447,54.71969040329392,19.340207189611487,26.91470676731419,27.804982052364863,9.79581635346284,9.54439136402027,8.397299689215583,4.545021263328758,3.852278425886824,25.99049831081081,5.808382601351352,20.18211570945946,3.5405405405405403,15.135135135135135,18.0,1.0,75.0
rocksdb,results,7873979,1993.9,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","9,0",14,997,2819,10695,120,0.0,"6,0","0,0","8,1",readrandom,2026-08-30T00:00:32,10.5.0,11a259a5f0,default-readrandom,4,2026-08-30T00:00:32.521259,2026-08-30T00:02:34.427263,37,50.0,51.0,50.0,12.058461782094595,13.41725612331081,12.648859797297296,11.253061655405405,0.6400000000000001,5027.453243243243,2538.4832432432436,2488.97,1.0,0.060000000000000005,0.9804949497401511,165.23837837837834,0.7783783783783784,9.700270270270272,2.0575675675675673,0.0003999999999999999,26.104722603462836,47.95253563133447,56.99324324324324,30.655405405405403,73.10524915540539,53.95791886613176,19.14733108108108,25.01755516258446,28.94036423141892,9.182453283361486,9.964877005912161,8.39713039913693,4.317629943022856,4.079500456114073,25.914907094594593,4.8504011824324325,21.06450591216216,3.054054054054054,15.0,19.0,1.0,75.0
rocksdb,results,7760744,1965.3,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","84,0",162,7800,18640,30647,120,0.0,"6,0","0,1","8,1",multireadrandom,2026-08-30T00:04:07,10.5.0,11a259a5f0,default-multireadrandom,0,2026-08-30T00:04:07.349379,2026-08-30T00:06:09.254270,36,50.0,50.0,50.0,11.410400390625,13.04587131076389,12.656026785714285,10.86279296875,0.6900000000000001,5409.299444444444,2705.8522222222223,2703.4474999999998,1.0,0.060000000000000005,0.999111288413139,166.54333333333332,0.8030555555555556,10.639444444444443,1.9908333333333335,0.00039999999999999996,26.85570855034722,48.93954779730903,57.78472222222222,31.59722222222222,74.47170687288849,54.56280220650338,19.90890308277027,24.60571605785473,29.957087732263517,9.169554476351353,10.739348606418918,8.399882754764041,4.274204666550095,4.125678088213946,25.877850506756758,8.97170608108108,16.906144425675677,5.0,15.0,15.0,3.0,75.0
rocksdb,results,7759572,1965.0,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","84,0",162,7900,20457,169635,120,0.0,"6,0","0,1","8,1",multireadrandom,2026-08-30T00:06:11,10.5.0,11a259a5f0,default-multireadrandom,1,2026-08-30T00:06:10.758084,2026-08-30T00:08:12.690508,37,50.0,50.0,50.0,11.665936444256756,13.713339315878379,13.135399070945946,11.03589527027027,0.6900000000000002,5402.291621621622,2703.7032432432434,2698.587837837838,1.0,0.060000000000000005,0.9981080004182451,166.5875675675676,0.797027027027027,10.674054054054055,2.0302702702702704,0.0003999999999999999,27.070192409206076,49.30534892314189,58.2027027027027,31.97972972972973,75.25754698057432,54.954317461993234,20.30322951858108,25.054886507601353,29.899430162584462,9.376179529138513,10.92705051731419,8.399670162716427,4.274817389410895,4.124852773305532,25.92820945945946,8.826858108108109,17.10135135135135,4.0,15.054054054054054,15.0,3.0,75.0
rocksdb,results,7833291,1983.6,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","83,0",161,7707,18610,29374,120,0.0,"6,0","0,1","8,1",multireadrandom,2026-08-30T00:08:14,10.5.0,11a259a5f0,default-multireadrandom,2,2026-08-30T00:08:14.200774,2026-08-30T00:10:16.103295,37,50.0,50.0,50.0,11.756044130067568,13.381677576013514,12.856973184121621,11.154138513513514,0.6932432432432434,5452.840270270271,2726.62054054054,2726.2205405405402,1.0,0.060000000000000005,0.999853298251791,166.93837837837836,0.7956756756756757,10.485675675675674,2.0178378378378383,0.0003999999999999999,27.212074799408782,49.47237964527027,58.49324324324324,31.993243243243242,75.48318623310811,55.29648543074324,20.18670238597973,24.637759184966214,30.65872598184121,9.15145164695946,11.03525100295608,8.399511801229941,4.149986163989918,4.249525637240023,25.93802787162162,6.182221283783784,19.75580658783784,4.0,15.0,15.0,3.0,75.0
rocksdb,results,7768414,1967.1,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","84,0",162,7768,18593,29825,120,0.0,"6,0","0,1","8,1",multireadrandom,2026-08-30T00:10:17,10.5.0,11a259a5f0,default-multireadrandom,3,2026-08-30T00:10:17.617289,2026-08-30T00:12:19.518708,37,50.0,50.0,50.0,12.208324535472974,12.782596072635135,12.499577702702704,11.527977195945946,0.6900000000000002,5406.556216216217,2713.0813513513513,2693.4743243243247,1.0,0.060000000000000005,0.9927731518196974,166.2827027027027,0.7975675675675675,10.643783783783782,2.024864864864865,0.0003999999999999999,26.9115551097973,49.05946605785473,57.99324324324324,31.729729729729726,75.40594013935812,55.210376900337835,20.19556350295608,26.110891839104728,29.099483741554046,9.693836570945944,10.501727195945946,8.399510873330605,4.309005324904984,4.0905055484256225,25.87890625,7.4196579391891895,18.45924831081081,4.0,15.0,15.0,3.0,75.0
rocksdb,results,7789980,1972.6,8GB,0GB,"0,0","0,0",0,0,0,0,"10,0","83,0",162,7755,18639,29277,120,0.0,"6,0","0,1","8,1",multireadrandom,2026-08-30T00:12:21,10.5.0,11a259a5f0,default-multireadrandom,4,2026-08-30T00:12:21.016922,2026-08-30T00:14:22.941493,37,50.0,50.0,50.0,12.244457347972974,15.05128272804054,14.715239653716216,11.579550253378379,0.6900000000000002,5422.455135135136,2723.125945945946,2699.329189189189,1.0,0.060000000000000005,0.9912612353489619,166.49324324324326,0.797027027027027,10.375135135135135,1.9870270270270274,0.0003999999999999999,27.086591796875002,49.22033968538851,58.25,31.885135135135137,75.03501055743244,54.98960647170609,20.045402766047296,26.147368823902024,28.842238439611485,9.518639938766892,10.526763883023648,8.399668616217536,4.388179160453178,4.011489455764358,25.88038429054054,20.60177364864865,5.278610641891892,4.0,15.0,15.0,3.0,75.0
