label,dataset,phase,overlap,run_id,threads,gb,secs,read_gb_s,cpus,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,exec,inst_skt0,inst_skt1,exec_skt0,exec_skt1,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,l2mpi,upi_to_mc,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,warmup_s
sharing,results,local,,1,16,8,30,100.89,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30,2026-08-13T20:47:20.263105,2026-08-13T20:47:50.263281,29,99.0,99.0,18.551724137931036,92.93696120689656,0.0007071659482758621,0.0027276400862068966,0.0011449353448275861,0.40310344827586225,13535.82793103448,0.09827586206896549,13506.862413793104,28.965517241379313,0.20275862068965525,0.0,0.0021445037606809374,154.42758620689654,0.04482758620689656,1149.967931034483,1064.1310344827587,0.0788551724137931,0.08454482758620689,0.0,0.00803778286637931,0.024115705818965518,0.0,0.0,96.095541015625,96.04539908854167,0.05014290364583334,96.031333984375,0.01406640625,0.04453906249999999,0.005602213541666668,8.293832906087239,8.091232935587565,0.2025999704996745,26.2109375,19.6796875,6.53125,0.0
sharing,results,remote,,1,16,8,30,29.57,1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31,2026-08-13T20:48:00.848487,2026-08-13T20:48:30.848611,30,0.23333333333333334,0.23333333333333334,94.36666666666666,0.06263020833333334,0.025455729166666666,0.001171875,29.086686197916666,0.12166666666666667,3982.2349999999997,0.02966666666666667,57.763999999999996,3924.473000000001,0.0003333333333333333,0.05900000000000001,0.014718918947843438,478.2320000000001,0.0,225.45699999999997,225.0016666666667,0.05630333333333332,0.05640999999999999,0.9473333333333335,30.491333658854163,52.57027473958332,62.333333333333336,36.3,31.82923893229167,31.471918294270832,0.3573212890625,31.437873697916665,0.0340439453125,0.34281282552083336,0.014506835937500002,8.293906911214192,8.091296895345051,0.20261001586914062,26.21875,19.6875,6.53125,0.0
sharing,results,shared000,0.0,1,16,8,30,96.93,0 2 4 6 8 10 12 14 1 3 5 7 9 11 13 15,2026-08-13T20:48:41.578863,2026-08-13T20:49:11.579050,30,36.96666666666667,36.96666666666667,55.13333333333333,23.0392578125,0.004264322916666666,0.0026692708333333334,29.285319010416668,0.38800000000000007,13006.782666666668,0.09666666666666669,9048.463,3958.319999999999,0.13233333333333336,0.05933333333333334,0.4374577207200824,291.5576666666667,0.3606666666666666,965.7103333333333,578.314,0.045963333333333335,0.07463333333333333,0.6003333333333334,30.72015625,53.133972656249995,62.73333333333333,36.13333333333333,56.034373046875,55.837502604166666,0.1968701171875,55.81617154947917,0.021331054687500003,0.1874150390625,0.009455403645833334,8.293949635823568,8.091339619954427,0.20261001586914062,26.20703125,19.67578125,6.53125,0.0
sharing,results,shared025,25.0,1,16,8,30,89.17,0 2 4 6 8 10 12 14 1 3 5 7 9 11 13 15,2026-08-13T20:49:22.240340,2026-08-13T20:49:52.240486,30,40.5,40.5,59.2,21.28173828125,0.005729166666666666,0.0021158854166666665,28.71025390625,0.3576666666666668,11757.268666666667,0.08766666666666668,7886.903666666665,3870.3650000000002,0.11699999999999998,0.05833333333333334,0.49073313984520595,300.03200000000004,0.252,813.6233333333333,524.0646666666668,0.045123333333333335,0.06857333333333333,0.5296666666666665,30.1413857421875,52.791755208333335,62.26666666666667,35.46666666666667,59.36198404947917,54.179744466145834,5.182239257812499,54.15377343750001,0.02597135416666667,5.171341796875001,0.010897786458333334,8.29398905436198,8.091379038492839,0.20261001586914062,26.21484375,19.68359375,6.53125,0.0
sharing,results,shared050,50.0,1,16,8,30,79.39,0 2 4 6 8 10 12 14 1 3 5 7 9 11 13 15,2026-08-13T20:50:02.886350,2026-08-13T20:50:32.886489,30,45.13333333333333,45.1,74.33333333333333,24.687467447916667,0.020052083333333335,0.00244140625,29.0658203125,0.3176666666666666,10636.644333333334,0.07899999999999999,6720.182,3916.463333333333,0.09899999999999999,0.05933333333333334,0.5827912597208429,310.2236666666667,0.123,764.7923333333334,557.2726666666666,0.05297,0.07188333333333335,0.4486666666666666,30.61890071614583,54.44292252604168,64.25,36.050000000000004,67.93792187499999,55.740503580729175,12.19741829427083,55.709545247395845,0.030957682291666667,12.1850673828125,0.012349609374999999,8.294020716349284,8.091410700480143,0.20261001586914062,26.201822916666668,19.670572916666668,6.53125,0.0
sharing,results,shared075,75.0,1,16,8,30,68.02,0 2 4 6 8 10 12 14 1 3 5 7 9 11 13 15,2026-08-13T20:50:43.524676,2026-08-13T20:51:13.524823,30,42.13333333333333,42.13333333333333,72.63333333333334,20.39521484375,0.015201822916666666,0.0027018229166666666,27.573990885416666,0.2753333333333333,8939.219333333334,0.06600000000000002,5224.166333333333,3715.0520000000006,0.07766666666666668,0.05566666666666667,0.711128199784859,378.3266666666667,0.11700000000000002,670.5856666666667,489.8640000000001,0.055713333333333344,0.07375,0.3923333333333335,29.07956608072917,53.97183072916667,63.60833333333333,34.2,76.46426920572917,51.15263411458332,25.311634114583335,51.12568294270833,0.026951497395833336,25.3006650390625,0.010970377604166668,8.2940673828125,8.09145736694336,0.20261001586914062,26.2109375,19.6796875,6.53125,0.0
sharing,results,shared100,100.0,1,16,8,30,75.56,0 2 4 6 8 10 12 14 1 3 5 7 9 11 13 15,2026-08-13T20:51:24.170837,2026-08-13T20:51:54.171032,30,37.3,37.3,79.93333333333334,17.378385416666667,0.03984375,0.0031575520833333334,28.132975260416668,0.3023333333333333,10106.754666666666,0.07533333333333334,6320.5543333333335,3786.2003333333337,0.09400000000000001,0.05700000000000001,0.5990297897394338,362.861,0.20366666666666663,685.909,467.7179999999999,0.04869000000000002,0.06829333333333333,0.47566666666666685,30.087494791666664,54.37972265625002,64.175,35.43333333333333,65.35861588541667,47.67509374999999,17.68352311197917,47.63990917968751,0.035183919270833336,17.670721028645833,0.0128017578125,8.294083658854166,8.091473642985026,0.20261001586914062,26.196484375,19.665234375,6.53125,0.0
sharing,results,local,,2,16,8,30,99.74,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30,2026-08-13T20:52:04.816189,2026-08-13T20:52:34.816351,30,99.0,99.03333333333333,5.6,90.38046875,0.00026041666666666666,0.01513671875,0.0009765625,0.4033333333333335,13070.524333333331,0.09466666666666664,13044.128333333332,26.396333333333327,0.19633333333333342,0.0,0.0020236180340145377,155.46133333333339,0.038000000000000006,1101.4663333333333,1028.234,0.07756666666666664,0.08245333333333334,0.0,0.015025390624999998,0.07884309895833333,0.03333333333333333,0.0,96.61529622395832,96.57285449218749,0.0424443359375,96.55234049479166,0.020512369791666665,0.034052408854166674,0.008390625000000002,8.294106928507487,8.091496912638346,0.20261001586914062,26.212890625,19.681640625,6.53125,0.0
sharing,results,remote,,2,16,8,30,29.57,1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31,2026-08-13T20:52:45.371944,2026-08-13T20:53:15.372068,30,0.1,0.1,94.76666666666667,0.04163411458333333,0.027213541666666667,0.00107421875,29.271647135416668,0.12100000000000002,3998.2633333333333,0.02966666666666667,49.38366666666666,3948.8810000000003,0.0003333333333333333,0.05933333333333334,0.01250573685726834,477.7646666666667,0.0,226.92666666666665,226.46933333333337,0.05656999999999999,0.05667999999999999,0.9503333333333335,30.6929462890625,52.9088310546875,62.733333333333334,36.53333333333333,32.01562272135417,31.66820345052083,0.3474195963541667,31.633249674479167,0.034952799479166664,0.3332581380208334,0.014160156250000002,8.294109344482422,8.091499328613281,0.20261001586914062,26.21484375,19.68359375,6.53125,0.0
sharing,results,shared000,0.0,2,16,8,30,96.99,0 2 4 6 8 10 12 14 1 3 5 7 9 11 13 15,2026-08-13T20:53:26.108013,2026-08-13T20:53:56.108167,29,36.86206896551724,36.86206896551724,55.6551724137931,23.20464035560345,0.004310344827586207,0.002256196120689655,29.442786907327587,0.38862068965517244,13068.983103448274,0.09724137931034485,9088.578965517243,3980.403448275862,0.1331034482758621,0.05965517241379311,0.4379566336363269,291.5806896551724,0.3617241379310344,971.0096551724138,582.1668965517241,0.04591724137931035,0.07469310344827587,0.6013793103448276,30.896163793103447,53.429678071120684,63.103448275862064,36.36206896551724,55.92477018229167,55.73806998697918,0.18670279947916668,55.717065104166664,0.02100390625,0.17759375000000005,0.0091083984375,8.29410171508789,8.09149169921875,0.20261001586914062,26.196744791666667,19.665494791666667,6.53125,0.0
