tag,test,n_prompt,n_gen,runs,test_time,avg_ns,avg_ts,stddev_ts
repl-distribute,pp512,512,0,10,2026-08-29T11:59:46Z,11160218696,46.318840,4.435998
repl-distribute,tg128,0,128,10,2026-08-29T12:02:19Z,12328818270,10.382170,0.006841
repl-distribute-warmup,pp512,512,0,10,2026-08-29T12:04:55Z,9743951373,52.569890,1.167726
repl-distribute-warmup,tg128,0,128,10,2026-08-29T12:06:42Z,12182407867,10.506970,0.014451
