tag,test,n_prompt,n_gen,runs,test_time,avg_ns,avg_ts,stddev_ts
baseline,pp512,512,0,10,2026-09-09T15:33:25Z,10630277413,48.351040,3.110372
baseline,tg128,0,128,10,2026-09-09T15:35:22Z,22281600926,5.744652,0.003363
baseline-warmup,pp512,512,0,10,2026-09-09T15:39:30Z,10071767206,50.981380,2.751527
baseline-warmup,tg128,0,128,10,2026-09-09T15:41:20Z,22292018040,5.741968,0.003733
distribute-balancing,pp512,512,0,10,2026-09-09T15:45:06Z,10364321688,49.458030,1.774339
distribute-balancing,tg128,0,128,10,2026-09-09T15:47:27Z,17858902569,7.167302,0.006673
distribute-balancing-warmup,pp512,512,0,10,2026-09-09T15:50:57Z,9888619199,51.802510,1.220386
distribute-balancing-warmup,tg128,0,128,10,2026-09-09T15:52:46Z,20269112620,6.315032,0.005333
distribute,pp512,512,0,10,2026-09-09T15:56:11Z,10346149786,49.563010,2.062698
distribute,tg128,0,128,10,2026-09-09T15:58:32Z,17372438561,7.367996,0.004243
distribute-warmup,pp512,512,0,10,2026-09-09T16:01:57Z,9687246998,52.864820,0.832093
distribute-warmup,tg128,0,128,10,2026-09-09T16:03:44Z,20395400489,6.275927,0.003121
interleaved-distribute,pp512,512,0,10,2026-09-09T16:07:10Z,10385027288,49.320070,0.999759
interleaved-distribute,tg128,0,128,10,2026-09-09T16:09:32Z,15447385914,8.286196,0.007765
interleaved-distribute-warmup,pp512,512,0,10,2026-09-09T16:12:38Z,9798469450,52.258010,0.535008
interleaved-distribute-warmup,tg128,0,128,10,2026-09-09T16:14:26Z,15444664197,8.287657,0.006294
