,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-09-09,17:54:55.864,    1.29,    1.17,    1.27,    1.17,    1.36,    1.25,    1.05,    0.95,    0.97,    0.88,    0.97,    0.87,    6.91,    6.28,7808557199,   13.20,    1.01,    0.94,    0.99,    0.94,    1.05,    0.98,    0.74,    0.71,    0.75,    0.72,    0.75,    0.72,    5.28,    5.00,7806952224,   10.28,    1.09,    1.04,    1.14,    1.09,    1.14,    1.07,    0.82,    0.80,    0.84,    0.82,    0.81,    0.79,    5.84,    5.60,7783260841,   11.44,    8.16,  101.61,    7.31,  101.60,    8.14,  102.04,    3.51,   99.69,    4.30,   99.96,    3.21,   99.45,   34.63,  604.35,7806193826,  638.97,     52.66,    621.23,    673.90
2026-09-09,17:54:56.865,    1.21,    1.12,    1.18,    1.11,    1.26,    1.18,    0.98,    0.90,    0.93,    0.86,    0.92,    0.86,    6.48,    6.03,7853191146,   12.51,    0.94,    0.89,    0.96,    0.92,    1.00,    0.96,    0.71,    0.68,    0.73,    0.70,    0.72,    0.69,    5.05,    4.85,7853871012,    9.90,    0.97,    0.97,    1.01,    1.02,    1.00,    1.00,    0.75,    0.75,    0.77,    0.77,    0.74,    0.74,    5.25,    5.24,7831868303,   10.48,    8.03,  102.47,    7.14,  102.35,    7.94,  102.79,    3.37,  100.58,    4.12,  100.82,    3.06,  100.35,   33.66,  609.36,7853813412,  643.02,     50.44,    625.47,    675.91
2026-09-09,17:54:57.866,    1.14,    1.12,    1.10,    1.09,    1.19,    1.17,    0.90,    0.88,    0.85,    0.86,    0.83,    0.83,    6.02,    5.95,7856743454,   11.97,    0.92,    0.89,    0.91,    0.89,    0.98,    0.97,    0.71,    0.69,    0.72,    0.69,    0.73,    0.70,    4.96,    4.83,7856984385,    9.79,    1.32,    1.21,    1.33,    1.22,    1.33,    1.22,    1.00,    0.92,    1.01,    0.94,    0.97,    0.89,    6.96,    6.41,7840587629,   13.37,    8.57,  102.28,    7.62,  102.10,    8.51,  102.61,    3.88,  100.12,    4.76,  100.42,    3.56,   99.85,   36.90,  607.37,7861236839,  644.27,     54.84,    624.57,    679.40
2026-09-09,17:54:58.866,    1.07,    1.01,    1.05,    1.01,    1.15,    1.09,    0.90,    0.85,    0.82,    0.78,    0.82,    0.78,    5.81,    5.52,7841335462,   11.33,    0.86,    0.84,    0.87,    0.86,    0.91,    0.89,    0.67,    0.65,    0.68,    0.66,    0.66,    0.66,    4.64,    4.54,7839728405,    9.19,    0.91,    0.90,    0.95,    0.94,    0.94,    0.92,    0.70,    0.68,    0.71,    0.70,    0.70,    0.68,    4.91,    4.81,7816590167,    9.72,    7.90,  102.58,    7.00,  102.40,    7.80,  102.86,    3.26,  100.01,    4.04,  100.29,    2.97,   99.74,   32.98,  607.89,7838202120,  640.86,     48.34,    622.76,    671.10
2026-09-09,17:54:59.866,    1.13,    1.10,    1.10,    1.08,    1.19,    1.16,    0.90,    0.86,    0.84,    0.82,    0.83,    0.80,    6.00,    5.83,7890283266,   11.83,    0.87,    0.89,    0.89,    0.91,    0.91,    0.92,    0.66,    0.67,    0.66,    0.66,    0.65,    0.66,    4.65,    4.70,7888376849,    9.35,    0.98,    0.90,    1.01,    0.94,    1.00,    0.92,    0.72,    0.67,    0.72,    0.69,    0.72,    0.68,    5.16,    4.81,7869414339,    9.96,    7.85,  103.58,    6.95,  103.46,    7.74,  103.88,    3.22,  101.26,    3.97,  101.51,    2.88,  100.98,   32.61,  614.66,7890874471,  647.27,     48.41,    630.00,    678.41
2026-09-09,17:55:00.865,    1.12,    1.25,    1.08,    1.22,    1.19,    1.33,    0.93,    1.10,    0.87,    1.05,    0.87,    1.04,    6.06,    6.98,7813564411,   13.04,    1.06,    2.32,    1.08,    2.34,    1.10,    2.36,    0.83,    2.18,    0.84,    2.21,    0.82,    2.19,    5.73,   13.60,7810342927,   19.33,    0.94,    1.03,    0.97,    1.07,    0.97,    1.06,    0.67,    0.84,    0.68,    0.84,    0.68,    0.84,    4.92,    5.68,7781791550,   10.60,   13.15,  106.60,   12.26,  106.47,   13.05,  106.91,    8.31,  103.71,    9.09,  103.99,    7.99,  103.44,   63.85,  631.12,7809211816,  694.97,     80.56,    657.39,    737.95
2026-09-09,17:55:01.866,    1.80,    1.57,    1.76,    1.55,    1.88,    1.69,    1.55,    1.36,    1.49,    1.32,    1.49,    1.29,    9.97,    8.78,7821148054,   18.75,    1.01,    1.03,    1.00,    1.03,    1.05,    1.05,    0.78,    0.81,    0.76,    0.80,    0.76,    0.81,    5.36,    5.52,7818156057,   10.89,    1.02,    1.01,    1.05,    1.05,    1.05,    1.04,    0.76,    0.78,    0.77,    0.80,    0.78,    0.80,    5.43,    5.47,7793304846,   10.91,    8.08,  101.96,    7.38,  101.94,    8.16,  102.36,    3.60,   99.58,    4.32,   99.89,    3.31,   99.38,   34.85,  605.10,7821388340,  639.95,     55.62,    624.88,    680.49
2026-09-09,17:55:02.867,    1.21,    1.13,    1.16,    1.10,    1.29,    1.20,    1.01,    0.90,    0.97,    0.89,    0.94,    0.85,    6.58,    6.08,7817724793,   12.65,    0.89,    0.85,    0.86,    0.83,    0.90,    0.85,    0.66,    0.62,    0.68,    0.65,    0.68,    0.65,    4.68,    4.44,7819553510,    9.12,    1.29,    1.18,    1.30,    1.21,    1.29,    1.19,    0.93,    0.88,    0.91,    0.86,    0.90,    0.85,    6.62,    6.17,7792566251,   12.78,    8.44,  101.94,    7.47,  101.79,    8.32,  102.30,    3.77,   99.54,    4.62,   99.79,    3.43,   99.20,   36.05,  604.56,7818923509,  640.61,     53.93,    621.25,    675.17
2026-09-09,17:55:03.866,    1.05,    1.03,    1.02,    1.02,    1.13,    1.12,    0.88,    0.84,    0.82,    0.79,    0.80,    0.77,    5.70,    5.56,7836408055,   11.27,    0.79,    0.76,    0.78,    0.76,    0.81,    0.77,    0.60,    0.57,    0.61,    0.58,    0.60,    0.57,    4.20,    4.00,7831830365,    8.20,    0.97,    0.89,    1.01,    0.95,    0.99,    0.91,    0.69,    0.66,    0.69,    0.66,    0.69,    0.66,    5.05,    4.74,7810256705,    9.79,    7.65,  101.67,    6.75,  101.51,    7.54,  101.98,    3.13,   99.24,    3.83,   99.53,    2.79,   98.97,   31.68,  602.89,7833428354,  634.57,     46.62,    617.19,    663.82
2026-09-09,17:55:04.865,    0.89,    0.78,    0.87,    0.77,    0.95,    0.85,    0.82,    0.71,    0.78,    0.68,    0.76,    0.66,    5.07,    4.45,7845510563,    9.52,    0.65,    0.60,    0.65,    0.60,    0.65,    0.59,    0.53,    0.49,    0.54,    0.49,    0.53,    0.49,    3.55,    3.25,7845392970,    6.80,    0.67,    0.65,    0.72,    0.71,    0.70,    0.67,    0.57,    0.55,    0.57,    0.55,    0.57,    0.56,    3.80,    3.70,7820425735,    7.50,    7.23,  101.57,    6.23,  101.39,    7.06,  101.87,    2.52,   99.23,    3.34,   99.47,    2.31,   99.05,   28.69,  602.59,7845845154,  631.28,     41.11,    614.00,    655.11
